Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
Asia,Turkmenistan,Fruits,Online,C,7/18/2017,747472703,8/17/2017,2638,9.33,6.92,24612.54,18254.96,6357.58
Asia,"North Korea",Fruits,Online,H,11/28/2015,679914081,12/23/2015,541,9.33,6.92,5047.53,3743.72,1303.81
"Sub-Saharan Africa",Djibouti,Beverages,Offline,L,12/1/2013,526620900,12/20/2013,7682,47.45,31.79,364510.90,244210.78,120300.12
"Australia and Oceania","Papua New Guinea",Fruits,Online,M,10/27/2014,481391990,11/1/2014,3442,9.33,6.92,32113.86,23818.64,8295.22
Europe,Norway,Snacks,Offline,L,5/8/2015,358338677,6/17/2015,9233,152.58,97.44,1408771.14,899663.52,509107.62
"Middle East and North Africa","Tunisia ",Vegetables,Online,L,2/2/2017,941884791,2/19/2017,3495,154.06,90.93,538439.70,317800.35,220639.35
Europe,Denmark,Cosmetics,Offline,C,2/15/2015,836766660,3/31/2015,6704,437.20,263.33,2930988.80,1765364.32,1165624.48
Asia,Kyrgyzstan,Beverages,Online,H,12/13/2016,518033111,12/30/2016,6364,47.45,31.79,301971.80,202311.56,99660.24
"Sub-Saharan Africa",Burundi,Snacks,Offline,M,12/29/2015,981045472,2/12/2016,2011,152.58,97.44,306838.38,195951.84,110886.54
"Sub-Saharan Africa",Nigeria,Vegetables,Online,M,7/11/2010,591477572,8/4/2010,212,154.06,90.93,32660.72,19277.16,13383.56
Asia,"South Korea",Meat,Offline,C,1/11/2015,935315740,1/28/2015,9567,421.89,364.69,4036221.63,3488989.23,547232.40
"Middle East and North Africa","Tunisia ",Household,Offline,H,12/23/2010,968858802,1/13/2011,5705,668.27,502.54,3812480.35,2866990.70,945489.65
"Middle East and North Africa",Syria,"Personal Care",Online,C,3/13/2011,168718087,3/13/2011,6286,81.73,56.67,513754.78,356227.62,157527.16
"Middle East and North Africa",Qatar,"Personal Care",Offline,M,8/25/2010,781817424,8/28/2010,6004,81.73,56.67,490706.92,340246.68,150460.24
Europe,"Bosnia and Herzegovina",Fruits,Offline,H,12/4/2012,175393140,1/18/2013,1583,9.33,6.92,14769.39,10954.36,3815.03
"Australia and Oceania","Federated States of Micronesia",Household,Offline,H,5/4/2011,286994063,5/31/2011,6776,668.27,502.54,4528197.52,3405211.04,1122986.48
"North America",Canada,Vegetables,Online,L,5/25/2015,874481523,6/9/2015,7370,154.06,90.93,1135422.20,670154.10,465268.10
"Sub-Saharan Africa",Namibia,Cosmetics,Offline,M,9/29/2016,866029345,10/12/2016,6183,437.20,263.33,2703207.60,1628169.39,1075038.21
Europe,Slovakia,Meat,Offline,H,9/4/2015,610123860,10/11/2015,8063,421.89,364.69,3401699.07,2940495.47,461203.60
"Central America and the Caribbean","Antigua and Barbuda ",Cereal,Offline,M,4/27/2017,525563895,6/9/2017,4891,205.70,117.11,1006078.70,572785.01,433293.69
"Australia and Oceania","New Zealand",Cosmetics,Online,M,9/24/2012,651460778,11/11/2012,576,437.20,263.33,251827.20,151678.08,100149.12
Asia,Japan,Fruits,Offline,M,12/19/2012,197238337,12/29/2012,6062,9.33,6.92,56558.46,41949.04,14609.42
Asia,Bhutan,Meat,Offline,L,12/30/2014,692632901,2/18/2015,4322,421.89,364.69,1823408.58,1576190.18,247218.40
Europe,Russia,Fruits,Offline,C,1/25/2013,137693297,2/18/2013,5361,9.33,6.92,50018.13,37098.12,12920.01
"Australia and Oceania",Fiji,"Office Supplies",Online,H,1/26/2010,652780854,1/31/2010,1216,651.21,524.96,791871.36,638351.36,153520.00
Europe,Albania,Fruits,Online,C,9/29/2013,828569400,10/2/2013,953,9.33,6.92,8891.49,6594.76,2296.73
Europe,Andorra,"Personal Care",Offline,L,3/5/2010,676045262,4/16/2010,5671,81.73,56.67,463490.83,321375.57,142115.26
Asia,Taiwan,Vegetables,Online,M,1/7/2013,276507270,2/7/2013,3501,154.06,90.93,539364.06,318345.93,221018.13
"Sub-Saharan Africa","Sao Tome and Principe",Fruits,Offline,C,4/11/2014,231566751,5/28/2014,4602,9.33,6.92,42936.66,31845.84,11090.82
"Australia and Oceania",Fiji,Fruits,Online,L,10/19/2010,313147532,10/19/2010,6169,9.33,6.92,57556.77,42689.48,14867.29
"Sub-Saharan Africa","Central African Republic",Clothes,Online,M,8/27/2015,813485944,9/16/2015,7423,109.28,35.84,811185.44,266040.32,545145.12
"Sub-Saharan Africa",Swaziland,Meat,Offline,M,6/17/2016,295130813,7/7/2016,4621,421.89,364.69,1949553.69,1685232.49,264321.20
Asia,Thailand,Beverages,Online,H,1/22/2017,540943467,2/19/2017,6048,47.45,31.79,286977.60,192265.92,94711.68
Europe,Malta,Meat,Offline,M,12/27/2010,704097735,1/5/2011,7021,421.89,364.69,2962089.69,2560488.49,401601.20
"Sub-Saharan Africa","Burkina Faso","Office Supplies",Online,C,7/27/2015,458079946,9/9/2015,4890,651.21,524.96,3184416.90,2567054.40,617362.50
"Middle East and North Africa",Kuwait,Cereal,Online,L,2/11/2015,446688926,4/2/2015,4034,205.70,117.11,829793.80,472421.74,357372.06
"Middle East and North Africa",Bahrain,Household,Online,M,2/22/2010,934036004,3/1/2010,865,668.27,502.54,578053.55,434697.10,143356.45
"Middle East and North Africa",Afghanistan,Cosmetics,Online,L,8/9/2013,454545009,9/15/2013,8824,437.20,263.33,3857852.80,2323623.92,1534228.88
"Central America and the Caribbean",Jamaica,Clothes,Offline,C,10/15/2016,762952268,11/3/2016,3385,109.28,35.84,369912.80,121318.40,248594.40
Europe,Norway,Fruits,Offline,H,11/3/2015,984306609,11/30/2015,7054,9.33,6.92,65813.82,48813.68,17000.14
Europe,Hungary,"Personal Care",Online,L,7/16/2015,763969361,8/29/2015,4366,81.73,56.67,356833.18,247421.22,109411.96
Europe,"United Kingdom","Personal Care",Online,M,5/15/2010,717614352,6/26/2010,6889,81.73,56.67,563037.97,390399.63,172638.34
"Australia and Oceania","Marshall Islands",Snacks,Offline,L,1/12/2011,181227910,1/17/2011,8221,152.58,97.44,1254360.18,801054.24,453305.94
Asia,Kazakhstan,Cosmetics,Online,H,5/10/2010,361108863,5/21/2010,8992,437.20,263.33,3931302.40,2367863.36,1563439.04
"Middle East and North Africa",Afghanistan,"Baby Food",Offline,M,5/19/2017,283868539,7/2/2017,1864,255.28,159.42,475841.92,297158.88,178683.04
"Australia and Oceania","Federated States of Micronesia",Beverages,Online,M,9/17/2015,846430766,10/18/2015,6528,47.45,31.79,309753.60,207525.12,102228.48
Asia,Indonesia,Cereal,Online,M,9/23/2012,766031873,10/3/2012,4709,205.70,117.11,968641.30,551470.99,417170.31
Europe,Liechtenstein,Cosmetics,Offline,M,2/4/2013,630220687,2/12/2013,5161,437.20,263.33,2256389.20,1359046.13,897343.07
"Sub-Saharan Africa",Zambia,Cereal,Online,M,12/20/2014,646858537,1/5/2015,8670,205.70,117.11,1783419.00,1015343.70,768075.30
"Sub-Saharan Africa",Namibia,Vegetables,Offline,L,10/12/2013,194119250,10/25/2013,3055,154.06,90.93,470653.30,277791.15,192862.15
Europe,Croatia,Household,Online,L,8/7/2013,970489156,9/16/2013,8162,668.27,502.54,5454419.74,4101731.48,1352688.26
"Sub-Saharan Africa",Zambia,Vegetables,Online,H,10/12/2015,244767081,11/8/2015,873,154.06,90.93,134494.38,79381.89,55112.49
Asia,"South Korea",Cosmetics,Online,L,2/28/2015,306064355,3/19/2015,99,437.20,263.33,43282.80,26069.67,17213.13
"Central America and the Caribbean","Costa Rica",Cereal,Offline,M,6/8/2011,813804805,7/24/2011,1781,205.70,117.11,366351.70,208572.91,157778.79
"Middle East and North Africa",Israel,Clothes,Offline,C,12/7/2012,147724759,12/10/2012,3894,109.28,35.84,425536.32,139560.96,285975.36
"Australia and Oceania",Tuvalu,"Baby Food",Online,H,2/14/2010,357873046,3/12/2010,1442,255.28,159.42,368113.76,229883.64,138230.12
"Australia and Oceania",Vanuatu,Vegetables,Offline,H,3/31/2017,414610993,4/8/2017,1461,154.06,90.93,225081.66,132848.73,92232.93
"Central America and the Caribbean","Dominican Republic",Vegetables,Online,L,7/17/2015,258612430,8/23/2015,8020,154.06,90.93,1235561.20,729258.60,506302.60
Asia,"North Korea",Meat,Offline,C,1/9/2010,350863683,1/18/2010,7216,421.89,364.69,3044358.24,2631603.04,412755.20
Asia,Kazakhstan,Fruits,Offline,C,7/24/2010,322663581,8/4/2010,2179,9.33,6.92,20330.07,15078.68,5251.39
Asia,Uzbekistan,Snacks,Online,H,12/11/2012,325623452,1/24/2013,8070,152.58,97.44,1231320.60,786340.80,444979.80
Europe,Armenia,Meat,Offline,M,3/30/2010,581667125,5/13/2010,7083,421.89,364.69,2988246.87,2583099.27,405147.60
Europe,Croatia,Fruits,Offline,L,9/23/2011,933030927,10/6/2011,3440,9.33,6.92,32095.20,23804.80,8290.40
Europe,"San Marino",Meat,Offline,C,5/21/2016,392263686,7/2/2016,8397,421.89,364.69,3542610.33,3062301.93,480308.40
"Sub-Saharan Africa",Sudan,Beverages,Online,M,9/10/2016,292226731,10/12/2016,5239,47.45,31.79,248590.55,166547.81,82042.74
Asia,"South Korea","Personal Care",Online,C,7/19/2017,236093890,8/13/2017,4283,81.73,56.67,350049.59,242717.61,107331.98
Europe,Kosovo,Fruits,Offline,M,5/4/2017,347351491,5/29/2017,7880,9.33,6.92,73520.40,54529.60,18990.80
"Sub-Saharan Africa","Cape Verde",Clothes,Offline,L,9/28/2011,819798362,10/24/2011,5408,109.28,35.84,590986.24,193822.72,397163.52
"Central America and the Caribbean","Saint Kitts and Nevis ",Clothes,Offline,H,8/19/2012,567545831,9/20/2012,8278,109.28,35.84,904619.84,296683.52,607936.32
Europe,Croatia,Snacks,Offline,L,1/10/2014,375017726,2/17/2014,4934,152.58,97.44,752829.72,480768.96,272060.76
"Sub-Saharan Africa",Burundi,"Personal Care",Online,H,1/1/2011,646950376,1/3/2011,5848,81.73,56.67,477957.04,331406.16,146550.88
Asia,Philippines,"Office Supplies",Offline,C,1/23/2011,958392608,2/12/2011,8525,651.21,524.96,5551565.25,4475284.00,1076281.25
"Sub-Saharan Africa","Mauritius ","Personal Care",Online,M,3/14/2015,504705750,3/14/2015,2502,81.73,56.67,204488.46,141788.34,62700.12
Europe,Russia,"Personal Care",Offline,H,2/12/2014,351563632,3/25/2014,4346,81.73,56.67,355198.58,246287.82,108910.76
"Central America and the Caribbean","El Salvador",Meat,Offline,C,9/22/2014,284952580,9/23/2014,2656,421.89,364.69,1120539.84,968616.64,151923.20
Asia,"Sri Lanka","Personal Care",Offline,C,8/21/2013,161171424,9/23/2013,3061,81.73,56.67,250175.53,173466.87,76708.66
"Sub-Saharan Africa","Mauritius ",Household,Offline,H,2/11/2016,356831490,3/28/2016,3222,668.27,502.54,2153165.94,1619183.88,533982.06
"Australia and Oceania",Fiji,"Baby Food",Online,H,2/8/2017,418856608,3/21/2017,7833,255.28,159.42,1999608.24,1248736.86,750871.38
"North America",Greenland,Fruits,Offline,L,8/25/2012,414483106,9/26/2012,3617,9.33,6.92,33746.61,25029.64,8716.97
Asia,Taiwan,Meat,Online,M,3/10/2011,481259810,3/31/2011,4327,421.89,364.69,1825518.03,1578013.63,247504.40
Asia,"North Korea",Fruits,Offline,M,8/29/2014,377048051,9/23/2014,5752,9.33,6.92,53666.16,39803.84,13862.32
Asia,Nepal,Fruits,Online,C,9/19/2014,830021655,11/4/2014,708,9.33,6.92,6605.64,4899.36,1706.28
"Sub-Saharan Africa",Zambia,Cereal,Online,M,8/23/2011,388666951,8/23/2011,4043,205.70,117.11,831645.10,473475.73,358169.37
"North America",Greenland,"Office Supplies",Offline,M,7/28/2010,371782767,9/11/2010,7638,651.21,524.96,4973941.98,4009644.48,964297.50
"Sub-Saharan Africa",Zimbabwe,"Office Supplies",Online,H,2/18/2010,818480432,4/6/2010,5403,651.21,524.96,3518487.63,2836358.88,682128.75
Europe,Iceland,Household,Offline,H,10/22/2013,938183772,11/4/2013,8282,668.27,502.54,5534612.14,4162036.28,1372575.86
Asia,Thailand,Fruits,Online,M,12/29/2010,460629117,1/13/2011,9247,9.33,6.92,86274.51,63989.24,22285.27
"Sub-Saharan Africa",Guinea-Bissau,Meat,Online,M,1/31/2011,985865294,2/9/2011,8304,421.89,364.69,3503374.56,3028385.76,474988.80
"Sub-Saharan Africa",Namibia,Meat,Online,L,12/19/2016,134253633,1/6/2017,7488,421.89,364.69,3159112.32,2730798.72,428313.60
"Middle East and North Africa",Iran,Vegetables,Offline,M,9/1/2013,996467959,9/3/2013,5868,154.06,90.93,904024.08,533577.24,370446.84
"Central America and the Caribbean",Dominica,Snacks,Online,H,7/24/2017,883494603,8/27/2017,4541,152.58,97.44,692865.78,442475.04,250390.74
"Middle East and North Africa",Somalia,"Baby Food",Online,C,1/4/2012,776632392,1/28/2012,1638,255.28,159.42,418148.64,261129.96,157018.68
"Middle East and North Africa",Jordan,Household,Offline,L,9/26/2011,377492654,11/14/2011,7320,668.27,502.54,4891736.40,3678592.80,1213143.60
"Sub-Saharan Africa",Togo,Meat,Online,H,8/4/2013,357999217,8/24/2013,8779,421.89,364.69,3703772.31,3201613.51,502158.80
"Sub-Saharan Africa","Central African Republic",Cereal,Online,H,6/30/2015,110388410,7/14/2015,5238,205.70,117.11,1077456.60,613422.18,464034.42
Europe,"Czech Republic",Cosmetics,Offline,M,8/23/2012,897209060,10/9/2012,2954,437.20,263.33,1291488.80,777876.82,513611.98
Europe,Lithuania,Cereal,Offline,H,6/11/2016,901322495,7/25/2016,211,205.70,117.11,43402.70,24710.21,18692.49
"Australia and Oceania",Nauru,"Office Supplies",Online,C,11/11/2012,175902545,12/5/2012,2327,651.21,524.96,1515365.67,1221581.92,293783.75
"Sub-Saharan Africa","South Africa",Vegetables,Online,M,8/28/2011,194435536,9/11/2011,6651,154.06,90.93,1024653.06,604775.43,419877.63
Europe,Norway,Fruits,Offline,M,4/9/2012,700720298,5/13/2012,7563,9.33,6.92,70562.79,52335.96,18226.83
