Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Sub-Saharan Africa",Liberia,Meat,Offline,L,10/26/2015,518385446,11/4/2015,628,421.89,364.69,264946.92,229025.32,35921.60
Asia,China,Fruits,Online,M,3/2/2014,624355876,4/18/2014,9633,9.33,6.92,89875.89,66660.36,23215.53
Europe,Bulgaria,"Personal Care",Online,M,4/27/2011,945177686,5/31/2011,7936,81.73,56.67,648609.28,449733.12,198876.16
Asia,Uzbekistan,Meat,Offline,L,9/23/2015,718399703,10/15/2015,9291,421.89,364.69,3919779.99,3388334.79,531445.20
"Sub-Saharan Africa","South Africa","Personal Care",Offline,C,3/10/2014,601883256,4/7/2014,9485,81.73,56.67,775209.05,537514.95,237694.10
Europe,Austria,Clothes,Online,M,6/28/2013,423802173,7/1/2013,1336,109.28,35.84,145998.08,47882.24,98115.84
Asia,Indonesia,"Office Supplies",Online,C,12/2/2013,532642781,12/19/2013,9690,651.21,524.96,6310224.90,5086862.40,1223362.50
"Middle East and North Africa",Azerbaijan,Cosmetics,Online,M,1/15/2013,447203910,2/6/2013,6430,437.20,263.33,2811196.00,1693211.90,1117984.10
"Central America and the Caribbean","Dominican Republic",Vegetables,Offline,L,1/21/2017,206596887,3/1/2017,5465,154.06,90.93,841937.90,496932.45,345005.45
"Sub-Saharan Africa",Benin,"Office Supplies",Online,C,4/18/2014,820245540,5/12/2014,7738,651.21,524.96,5039062.98,4062140.48,976922.50
"Central America and the Caribbean",Grenada,"Personal Care",Offline,H,11/17/2016,217886197,1/2/2017,6222,81.73,56.67,508524.06,352600.74,155923.32
"Australia and Oceania",Vanuatu,Cereal,Offline,H,6/26/2011,899567687,7/10/2011,924,205.70,117.11,190066.80,108209.64,81857.16
Europe,Germany,"Baby Food",Offline,H,2/21/2016,485651338,2/21/2016,3878,255.28,159.42,989975.84,618230.76,371745.08
"Central America and the Caribbean",Belize,"Office Supplies",Offline,M,11/15/2015,266810977,11/29/2015,4152,651.21,524.96,2703823.92,2179633.92,524190.00
Europe,Luxembourg,Fruits,Offline,L,11/29/2011,254032933,12/28/2011,2845,9.33,6.92,26543.85,19687.40,6856.45
Asia,"South Korea","Office Supplies",Online,M,5/4/2010,528616034,5/10/2010,8086,651.21,524.96,5265684.06,4244826.56,1020857.50
"Central America and the Caribbean",Belize,Clothes,Online,H,9/24/2010,792171609,10/14/2010,38,109.28,35.84,4152.64,1361.92,2790.72
Europe,Kosovo,Beverages,Online,M,7/6/2017,816623485,8/9/2017,5891,47.45,31.79,279527.95,187274.89,92253.06
"Sub-Saharan Africa","South Sudan","Personal Care",Online,H,6/15/2013,894207990,7/9/2013,4870,81.73,56.67,398025.10,275982.90,122042.20
"Sub-Saharan Africa",Ethiopia,"Office Supplies",Online,L,6/22/2016,487473952,6/27/2016,3230,651.21,524.96,2103408.30,1695620.80,407787.50
"Central America and the Caribbean",Panama,Clothes,Offline,L,4/6/2015,479282701,4/11/2015,9257,109.28,35.84,1011604.96,331770.88,679834.08
"Central America and the Caribbean","Antigua and Barbuda ",Cosmetics,Online,M,12/5/2010,922808063,1/14/2011,8267,437.20,263.33,3614332.40,2176949.11,1437383.29
Europe,Liechtenstein,Snacks,Online,C,3/22/2013,591536366,4/30/2013,7611,152.58,97.44,1161286.38,741615.84,419670.54
Europe,"San Marino",Fruits,Online,L,1/12/2014,129266440,2/1/2014,1667,9.33,6.92,15553.11,11535.64,4017.47
"Australia and Oceania","Papua New Guinea",Vegetables,Online,C,11/16/2013,700109612,11/29/2013,6847,154.06,90.93,1054848.82,622597.71,432251.11
Europe,Norway,Vegetables,Offline,H,7/23/2010,838489711,9/1/2010,6593,154.06,90.93,1015717.58,599501.49,416216.09
Europe,Kosovo,Fruits,Online,L,7/5/2010,499143064,8/5/2010,6379,9.33,6.92,59516.07,44142.68,15373.39
"Central America and the Caribbean","Saint Lucia",Cosmetics,Online,M,6/13/2017,607118499,6/20/2017,8710,437.20,263.33,3808012.00,2293604.30,1514407.70
"Australia and Oceania",Palau,Household,Online,C,6/11/2013,807777345,6/14/2013,8122,668.27,502.54,5427688.94,4081629.88,1346059.06
Europe,Slovakia,Clothes,Offline,L,9/10/2015,816793429,10/22/2015,6182,109.28,35.84,675568.96,221562.88,454006.08
"Middle East and North Africa","Tunisia ",Cereal,Online,C,3/5/2012,870153081,3/13/2012,6488,205.70,117.11,1334581.60,759809.68,574771.92
"Sub-Saharan Africa",Angola,Vegetables,Online,C,11/14/2010,374155128,12/10/2010,9672,154.06,90.93,1490068.32,879474.96,610593.36
Asia,Japan,Beverages,Online,C,3/31/2013,155410897,5/3/2013,8393,47.45,31.79,398247.85,266813.47,131434.38
Asia,Mongolia,"Personal Care",Online,H,6/22/2010,210844218,6/26/2010,2344,81.73,56.67,191575.12,132834.48,58740.64
Europe,Italy,"Office Supplies",Online,M,7/6/2017,157691419,8/4/2017,3250,651.21,524.96,2116432.50,1706120.00,410312.50
"Australia and Oceania",Fiji,"Baby Food",Online,M,4/21/2016,583501327,5/24/2016,9864,255.28,159.42,2518081.92,1572518.88,945563.04
"Central America and the Caribbean","Dominican Republic","Office Supplies",Online,M,7/30/2012,796135270,8/8/2012,2973,651.21,524.96,1936047.33,1560706.08,375341.25
