Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Central America and the Caribbean",Cuba,Cosmetics,Offline,M,4/30/2014,391716516,6/9/2014,6477,437.20,263.33,2831744.40,1705588.41,1126155.99
"Australia and Oceania",Tuvalu,Fruits,Online,L,10/8/2010,390130794,11/4/2010,7226,9.33,6.92,67418.58,50003.92,17414.66
Europe,Ireland,Snacks,Online,M,7/2/2013,635037076,7/9/2013,438,152.58,97.44,66830.04,42678.72,24151.32
Europe,Germany,Cereal,Online,L,10/8/2016,926484191,11/18/2016,6115,205.70,117.11,1257855.50,716127.65,541727.85
Europe,Malta,Cereal,Online,L,11/24/2015,684833467,1/12/2016,6296,205.70,117.11,1295087.20,737324.56,557762.64
Europe,Romania,"Baby Food",Online,M,1/17/2011,300758731,2/26/2011,47,255.28,159.42,11998.16,7492.74,4505.42
"Middle East and North Africa",Yemen,Household,Online,C,1/7/2011,685246312,2/15/2011,8466,668.27,502.54,5657573.82,4254503.64,1403070.18
"Australia and Oceania",Vanuatu,Cereal,Online,M,4/29/2014,119595038,5/4/2014,9684,205.70,117.11,1991998.80,1134093.24,857905.56
"Sub-Saharan Africa","Republic of the Congo","Baby Food",Offline,M,12/21/2012,105416238,1/5/2013,3862,255.28,159.42,985891.36,615680.04,370211.32
"Sub-Saharan Africa","South Africa",Fruits,Offline,C,5/20/2011,414633738,6/21/2011,8192,9.33,6.92,76431.36,56688.64,19742.72
"Sub-Saharan Africa",Mauritania,Fruits,Online,H,1/17/2015,439483869,2/17/2015,1898,9.33,6.92,17708.34,13134.16,4574.18
"Middle East and North Africa",Yemen,Snacks,Offline,H,8/3/2011,542515456,8/30/2011,1234,152.58,97.44,188283.72,120240.96,68042.76
"Sub-Saharan Africa","Seychelles ",Vegetables,Offline,C,5/31/2012,706589829,7/19/2012,4487,154.06,90.93,691267.22,408002.91,283264.31
"Central America and the Caribbean",Guatemala,Cosmetics,Online,H,1/25/2011,984880816,2/4/2011,6975,437.20,263.33,3049470.00,1836726.75,1212743.25
Europe,Luxembourg,Clothes,Offline,C,4/19/2017,150874745,6/2/2017,6045,109.28,35.84,660597.60,216652.80,443944.80
"Central America and the Caribbean",Belize,"Office Supplies",Offline,M,6/2/2015,648370444,6/16/2015,6078,651.21,524.96,3958054.38,3190706.88,767347.50
"Middle East and North Africa",Yemen,Cereal,Online,H,7/7/2013,941479241,7/11/2013,3484,205.70,117.11,716658.80,408011.24,308647.56
Asia,Mongolia,Cosmetics,Offline,M,12/20/2016,464624965,1/23/2017,1707,437.20,263.33,746300.40,449504.31,296796.09
Europe,"San Marino","Office Supplies",Online,L,1/26/2017,972543942,2/28/2017,6220,651.21,524.96,4050526.20,3265251.20,785275.00
Europe,Croatia,"Baby Food",Offline,M,7/13/2017,690285003,8/7/2017,9527,255.28,159.42,2432052.56,1518794.34,913258.22
Europe,France,Household,Offline,H,7/26/2015,163209474,9/7/2015,6165,668.27,502.54,4119884.55,3098159.10,1021725.45
"Sub-Saharan Africa",Chad,Fruits,Offline,M,3/25/2013,906991183,4/2/2013,7701,9.33,6.92,71850.33,53290.92,18559.41
Europe,Macedonia,"Office Supplies",Offline,L,8/25/2013,457616460,9/2/2013,7735,651.21,524.96,5037109.35,4060565.60,976543.75
"Sub-Saharan Africa",Zambia,Beverages,Offline,M,3/23/2017,921384131,4/8/2017,6895,47.45,31.79,327167.75,219192.05,107975.70
Europe,Slovenia,Cosmetics,Offline,C,4/13/2010,424905526,5/2/2010,7842,437.20,263.33,3428522.40,2065033.86,1363488.54
"Sub-Saharan Africa","South Africa",Snacks,Online,H,4/14/2014,765104472,5/27/2014,270,152.58,97.44,41196.60,26308.80,14887.80
"Central America and the Caribbean",Panama,Cereal,Offline,C,11/23/2013,659217298,12/19/2013,5902,205.70,117.11,1214041.40,691183.22,522858.18
"Sub-Saharan Africa","The Gambia","Office Supplies",Offline,M,10/13/2013,694792830,11/28/2013,3493,651.21,524.96,2274676.53,1833685.28,440991.25
Asia,Thailand,Beverages,Online,H,2/6/2012,179692399,3/20/2012,3829,47.45,31.79,181686.05,121723.91,59962.14
Asia,Bangladesh,"Baby Food",Online,C,11/6/2011,292089831,12/22/2011,4727,255.28,159.42,1206708.56,753578.34,453130.22
"North America",Canada,Meat,Offline,L,2/7/2017,930471456,3/24/2017,6036,421.89,364.69,2546528.04,2201268.84,345259.20
"Middle East and North Africa",Yemen,"Personal Care",Online,H,1/26/2014,263636100,2/18/2014,4635,81.73,56.67,378818.55,262665.45,116153.10
"Central America and the Caribbean","Saint Lucia",Cereal,Online,M,9/25/2012,580695092,10/16/2012,9437,205.70,117.11,1941190.90,1105167.07,836023.83
Europe,Slovenia,"Baby Food",Offline,M,10/14/2012,641072261,11/6/2012,6383,255.28,159.42,1629452.24,1017577.86,611874.38
Europe,"United Kingdom",Beverages,Offline,M,12/28/2014,624503934,1/20/2015,3447,47.45,31.79,163560.15,109580.13,53980.02
"Sub-Saharan Africa",Rwanda,Household,Offline,C,5/18/2017,781038939,5/21/2017,5633,668.27,502.54,3764364.91,2830807.82,933557.09
Europe,Portugal,Snacks,Offline,M,6/24/2011,981038606,7/6/2011,9979,152.58,97.44,1522595.82,972353.76,550242.06
"Sub-Saharan Africa",Gabon,"Baby Food",Offline,H,5/22/2016,265176761,6/25/2016,551,255.28,159.42,140659.28,87840.42,52818.86
Asia,Bhutan,"Personal Care",Online,L,6/1/2014,894439733,6/18/2014,3448,81.73,56.67,281805.04,195398.16,86406.88
"Sub-Saharan Africa",Tanzania,"Baby Food",Online,L,6/3/2015,700126349,7/20/2015,1800,255.28,159.42,459504.00,286956.00,172548.00
"Australia and Oceania","Papua New Guinea",Meat,Offline,M,3/12/2015,733847939,4/5/2015,768,421.89,364.69,324011.52,280081.92,43929.60
"Middle East and North Africa",Jordan,Vegetables,Offline,L,5/17/2014,317528331,6/23/2014,2544,154.06,90.93,391928.64,231325.92,160602.72
Europe,Latvia,Household,Online,M,9/2/2014,193403851,10/8/2014,1352,668.27,502.54,903501.04,679434.08,224066.96
"Sub-Saharan Africa","Mauritius ",Household,Offline,M,1/23/2015,274023330,2/2/2015,8448,668.27,502.54,5645544.96,4245457.92,1400087.04
"Central America and the Caribbean",Dominica,Cosmetics,Online,H,8/7/2015,992248094,8/21/2015,7116,437.20,263.33,3111115.20,1873856.28,1237258.92
"Middle East and North Africa",Libya,Cosmetics,Offline,M,8/9/2013,151251971,9/16/2013,7674,437.20,263.33,3355072.80,2020794.42,1334278.38
Asia,Nepal,Meat,Offline,M,1/17/2015,574521291,2/22/2015,2472,421.89,364.69,1042912.08,901513.68,141398.40
Asia,Indonesia,Beverages,Offline,H,8/5/2015,655854880,8/6/2015,888,47.45,31.79,42135.60,28229.52,13906.08
"Sub-Saharan Africa","Republic of the Congo",Cereal,Online,C,12/25/2011,209364068,2/3/2012,4335,205.70,117.11,891709.50,507671.85,384037.65
"Middle East and North Africa",Oman,Clothes,Offline,H,5/14/2013,919472682,6/29/2013,1254,109.28,35.84,137037.12,44943.36,92093.76
Europe,Sweden,Cosmetics,Online,C,10/31/2014,490917050,11/27/2014,2119,437.20,263.33,926426.80,557996.27,368430.53
"Australia and Oceania",Kiribati,Cereal,Online,H,4/21/2016,298746001,5/19/2016,4435,205.70,117.11,912279.50,519382.85,392896.65
"Sub-Saharan Africa",Ghana,"Personal Care",Offline,L,3/16/2011,438320863,3/25/2011,7739,81.73,56.67,632508.47,438569.13,193939.34
"Central America and the Caribbean",Honduras,Fruits,Online,C,12/14/2012,175315463,1/1/2013,8596,9.33,6.92,80200.68,59484.32,20716.36
Asia,Japan,"Baby Food",Online,L,4/26/2013,195716130,5/11/2013,5607,255.28,159.42,1431354.96,893867.94,537487.02
"Australia and Oceania","Marshall Islands",Fruits,Online,H,6/25/2016,355821692,8/13/2016,4401,9.33,6.92,41061.33,30454.92,10606.41
Asia,Uzbekistan,Snacks,Online,M,7/24/2012,132243478,8/24/2012,2639,152.58,97.44,402658.62,257144.16,145514.46
"Sub-Saharan Africa",Mozambique,Snacks,Online,C,8/28/2011,871905314,9/10/2011,5013,152.58,97.44,764883.54,488466.72,276416.82
Asia,Philippines,Cosmetics,Offline,H,5/14/2017,842043530,5/23/2017,8248,437.20,263.33,3606025.60,2171945.84,1434079.76
Europe,Netherlands,Household,Online,H,6/4/2015,180206954,6/24/2015,6097,668.27,502.54,4074442.19,3063986.38,1010455.81
"Middle East and North Africa",Somalia,Beverages,Online,H,5/5/2015,444256913,5/17/2015,4348,47.45,31.79,206312.60,138222.92,68089.68
"Middle East and North Africa","Saudi Arabia",Snacks,Online,C,5/2/2016,562367236,6/10/2016,5817,152.58,97.44,887557.86,566808.48,320749.38
Asia,Nepal,Snacks,Offline,H,2/15/2011,883024251,3/3/2011,5353,152.58,97.44,816760.74,521596.32,295164.42
"Sub-Saharan Africa","Sierra Leone",Meat,Offline,M,5/30/2012,925026786,5/30/2012,4837,421.89,364.69,2040681.93,1764005.53,276676.40
Europe,"San Marino",Fruits,Offline,C,4/4/2011,727486169,4/14/2011,8179,9.33,6.92,76310.07,56598.68,19711.39
"Middle East and North Africa","United Arab Emirates","Office Supplies",Offline,H,2/19/2011,399826228,2/20/2011,6321,651.21,524.96,4116298.41,3318272.16,798026.25
Europe,"Moldova ",Vegetables,Offline,L,8/6/2016,571783292,9/20/2016,2237,154.06,90.93,344632.22,203410.41,141221.81
"Central America and the Caribbean","El Salvador",Cereal,Offline,C,4/25/2014,143406188,6/13/2014,5933,205.70,117.11,1220418.10,694813.63,525604.47
"Middle East and North Africa","United Arab Emirates",Beverages,Online,L,10/1/2014,335056245,11/4/2014,9443,47.45,31.79,448070.35,300192.97,147877.38
Europe,"Bosnia and Herzegovina",Snacks,Offline,L,6/30/2010,637407290,7/10/2010,1837,152.58,97.44,280289.46,178997.28,101292.18
Europe,Ukraine,Clothes,Offline,C,5/11/2010,161445653,5/13/2010,4211,109.28,35.84,460178.08,150922.24,309255.84
Asia,"South Korea",Household,Offline,L,11/4/2012,788470160,11/24/2012,4697,668.27,502.54,3138864.19,2360430.38,778433.81
"Australia and Oceania",Tuvalu,Cosmetics,Online,L,7/13/2017,420092141,8/22/2017,3455,437.20,263.33,1510526.00,909805.15,600720.85
"Sub-Saharan Africa",Guinea-Bissau,Fruits,Online,M,9/13/2013,628235423,10/6/2013,7677,9.33,6.92,71626.41,53124.84,18501.57
"Sub-Saharan Africa",Ethiopia,"Office Supplies",Offline,L,5/31/2014,805136334,7/17/2014,6588,651.21,524.96,4290171.48,3458436.48,831735.00
"Central America and the Caribbean","Saint Kitts and Nevis ",Vegetables,Online,L,11/13/2014,413343703,12/8/2014,6442,154.06,90.93,992454.52,585771.06,406683.46
Asia,Maldives,Vegetables,Offline,C,4/29/2011,335718858,6/5/2011,5525,154.06,90.93,851181.50,502388.25,348793.25
Asia,Maldives,"Baby Food",Online,M,6/21/2012,625435626,8/8/2012,9155,255.28,159.42,2337088.40,1459490.10,877598.30
"North America",Mexico,Meat,Online,H,11/28/2012,955980336,1/3/2013,4680,421.89,364.69,1974445.20,1706749.20,267696.00
"Sub-Saharan Africa",Ghana,Vegetables,Online,C,2/7/2012,171151816,2/27/2012,6481,154.06,90.93,998462.86,589317.33,409145.53
"Australia and Oceania",Fiji,"Office Supplies",Online,H,7/25/2010,335061395,8/26/2010,967,651.21,524.96,629720.07,507636.32,122083.75
"Central America and the Caribbean",Honduras,Cereal,Online,L,9/1/2013,882132899,10/12/2013,1583,205.70,117.11,325623.10,185385.13,140237.97
Europe,Belgium,Fruits,Offline,M,9/17/2012,867102658,10/14/2012,3800,9.33,6.92,35454.00,26296.00,9158.00
"Sub-Saharan Africa",Mozambique,Beverages,Online,L,5/29/2011,315019500,6/12/2011,125,47.45,31.79,5931.25,3973.75,1957.50
"Australia and Oceania","Federated States of Micronesia",Snacks,Online,L,7/15/2014,671244752,8/18/2014,5093,152.58,97.44,777089.94,496261.92,280828.02
"Sub-Saharan Africa",Mali,Beverages,Offline,H,8/1/2016,751452243,8/11/2016,272,47.45,31.79,12906.40,8646.88,4259.52
Europe,"Moldova ",Snacks,Online,H,2/8/2013,791628301,3/9/2013,9261,152.58,97.44,1413043.38,902391.84,510651.54
