Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Central America and the Caribbean",Belize,Beverages,Online,L,11/22/2016,266769349,12/21/2016,1833,47.45,31.79,86975.85,58271.07,28704.78
"Sub-Saharan Africa",Chad,"Office Supplies",Online,M,5/23/2013,975834262,6/18/2013,9898,651.21,524.96,6445676.58,5196054.08,1249622.50
"Australia and Oceania",Palau,Household,Online,L,10/6/2012,449555242,10/19/2012,2241,668.27,502.54,1497593.07,1126192.14,371400.93
"Middle East and North Africa","United Arab Emirates",Cereal,Offline,H,8/17/2011,344231116,9/27/2011,4492,205.70,117.11,924004.40,526058.12,397946.28
Europe,Macedonia,"Personal Care",Offline,M,3/26/2015,136473214,4/16/2015,4312,81.73,56.67,352419.76,244361.04,108058.72
"Central America and the Caribbean",Panama,Fruits,Offline,L,12/20/2010,273205363,12/23/2010,6393,9.33,6.92,59646.69,44239.56,15407.13
Asia,Bangladesh,Clothes,Online,L,1/3/2010,821663892,1/6/2010,7460,109.28,35.84,815228.80,267366.40,547862.40
"Australia and Oceania",Vanuatu,Fruits,Offline,H,3/24/2013,119397628,4/14/2013,1266,9.33,6.92,11811.78,8760.72,3051.06
Asia,Bangladesh,Cosmetics,Offline,H,12/29/2014,624267899,1/21/2015,3599,437.20,263.33,1573482.80,947724.67,625758.13
"Sub-Saharan Africa",Guinea-Bissau,"Office Supplies",Offline,H,7/11/2014,364448535,7/23/2014,7275,651.21,524.96,4737552.75,3819084.00,918468.75
"Australia and Oceania","Papua New Guinea","Office Supplies",Online,H,2/9/2012,588425862,2/15/2012,7144,651.21,524.96,4652244.24,3750314.24,901930.00
"Central America and the Caribbean","Saint Kitts and Nevis ",Clothes,Online,H,11/17/2012,814998710,11/26/2012,5084,109.28,35.84,555579.52,182210.56,373368.96
"Sub-Saharan Africa","Republic of the Congo",Beverages,Offline,H,6/19/2015,183278405,7/31/2015,5008,47.45,31.79,237629.60,159204.32,78425.28
Europe,"Vatican City",Cosmetics,Offline,L,10/10/2015,602688777,10/18/2015,7857,437.20,263.33,3435080.40,2068983.81,1366096.59
Europe,Armenia,Clothes,Online,M,10/11/2010,902966153,11/10/2010,6605,109.28,35.84,721794.40,236723.20,485071.20
"Central America and the Caribbean",Grenada,Cereal,Online,L,6/11/2017,884159362,6/26/2017,1258,205.70,117.11,258770.60,147324.38,111446.22
"Australia and Oceania","Samoa ","Baby Food",Online,H,12/10/2015,866629731,1/15/2016,3851,255.28,159.42,983083.28,613926.42,369156.86
Europe,Belarus,Clothes,Online,M,1/3/2014,341051089,1/3/2014,3451,109.28,35.84,377125.28,123683.84,253441.44
Europe,Finland,Cosmetics,Offline,H,11/17/2012,218409764,12/21/2012,1158,437.20,263.33,506277.60,304936.14,201341.46
Europe,Armenia,Fruits,Online,H,1/23/2011,580004584,3/10/2011,5100,9.33,6.92,47583.00,35292.00,12291.00
"Middle East and North Africa",Israel,Clothes,Online,H,9/15/2015,227446877,9/27/2015,5440,109.28,35.84,594483.20,194969.60,399513.60
Europe,Slovenia,Vegetables,Online,L,2/3/2016,732660472,3/21/2016,9370,154.06,90.93,1443542.20,852014.10,591528.10
"Central America and the Caribbean","Antigua and Barbuda ",Clothes,Online,L,2/18/2010,587881696,3/14/2010,6113,109.28,35.84,668028.64,219089.92,448938.72
Asia,Nepal,"Personal Care",Online,H,10/1/2015,155659377,10/10/2015,1924,81.73,56.67,157248.52,109033.08,48215.44
"Sub-Saharan Africa",Ethiopia,Fruits,Offline,M,1/20/2014,318854844,2/19/2014,5089,9.33,6.92,47480.37,35215.88,12264.49
Europe,"United Kingdom",Fruits,Online,C,9/26/2013,230641925,9/29/2013,926,9.33,6.92,8639.58,6407.92,2231.66
Europe,Cyprus,Clothes,Offline,L,12/21/2016,464506947,12/29/2016,6783,109.28,35.84,741246.24,243102.72,498143.52
Europe,Netherlands,Fruits,Online,H,8/24/2015,764248740,9/5/2015,7040,9.33,6.92,65683.20,48716.80,16966.40
Asia,Malaysia,Snacks,Online,C,4/11/2010,493978631,5/28/2010,8109,152.58,97.44,1237271.22,790140.96,447130.26
"Sub-Saharan Africa",Liberia,"Personal Care",Offline,L,10/23/2013,888120448,11/22/2013,3431,81.73,56.67,280415.63,194434.77,85980.86
Asia,"South Korea","Office Supplies",Online,M,7/17/2017,101410520,9/1/2017,8481,651.21,524.96,5522912.01,4452185.76,1070726.25
"Sub-Saharan Africa",Djibouti,"Personal Care",Online,L,1/14/2010,858897674,1/28/2010,5763,81.73,56.67,471009.99,326589.21,144420.78
"Central America and the Caribbean",Belize,"Personal Care",Online,M,3/25/2011,105943238,4/13/2011,9813,81.73,56.67,802016.49,556102.71,245913.78
"Sub-Saharan Africa","Central African Republic","Personal Care",Online,L,8/8/2015,258221042,9/11/2015,2199,81.73,56.67,179724.27,124617.33,55106.94
"Middle East and North Africa",Bahrain,"Baby Food",Online,C,2/17/2011,651717412,4/1/2011,6520,255.28,159.42,1664425.60,1039418.40,625007.20
Europe,Hungary,"Personal Care",Offline,L,5/15/2013,692731177,6/5/2013,3404,81.73,56.67,278208.92,192904.68,85304.24
"Central America and the Caribbean","Saint Kitts and Nevis ",Beverages,Offline,M,3/17/2016,307873666,3/22/2016,5514,47.45,31.79,261639.30,175290.06,86349.24
"Sub-Saharan Africa",Benin,Meat,Online,H,10/29/2010,394068706,11/20/2010,2542,421.89,364.69,1072444.38,927041.98,145402.40
Asia,Kazakhstan,"Personal Care",Offline,H,3/6/2012,568552625,3/14/2012,6211,81.73,56.67,507625.03,351977.37,155647.66
"Sub-Saharan Africa",Ghana,Household,Offline,L,5/9/2017,518874251,6/21/2017,5276,668.27,502.54,3525792.52,2651401.04,874391.48
"Sub-Saharan Africa",Cameroon,Beverages,Online,L,12/6/2016,452894914,12/20/2016,524,47.45,31.79,24863.80,16657.96,8205.84
Asia,Myanmar,Meat,Offline,C,12/3/2013,648788440,12/5/2013,9772,421.89,364.69,4122709.08,3563750.68,558958.40
Asia,Taiwan,Meat,Offline,M,5/25/2012,105041158,7/14/2012,2868,421.89,364.69,1209980.52,1045930.92,164049.60
Europe,Croatia,"Baby Food",Online,M,9/15/2013,590451896,10/21/2013,6692,255.28,159.42,1708333.76,1066838.64,641495.12
Asia,Thailand,Clothes,Online,C,9/8/2012,794131982,9/11/2012,156,109.28,35.84,17047.68,5591.04,11456.64
Europe,Hungary,Beverages,Online,H,8/10/2016,375505244,9/14/2016,9201,47.45,31.79,436587.45,292499.79,144087.66
"Sub-Saharan Africa",Guinea,Beverages,Online,H,1/31/2011,414308011,2/25/2011,1802,47.45,31.79,85504.90,57285.58,28219.32
Europe,Monaco,Clothes,Offline,M,11/11/2016,260589110,11/18/2016,2963,109.28,35.84,323796.64,106193.92,217602.72
Europe,Georgia,Snacks,Offline,L,5/3/2010,684709870,6/1/2010,9721,152.58,97.44,1483230.18,947214.24,536015.94
"Australia and Oceania","East Timor",Snacks,Offline,C,8/7/2010,727344119,8/31/2010,6143,152.58,97.44,937298.94,598573.92,338725.02
Europe,Malta,Cereal,Offline,C,2/3/2015,849478185,3/17/2015,8327,205.70,117.11,1712863.90,975174.97,737688.93
Europe,"United Kingdom",Cosmetics,Offline,H,12/21/2010,682410895,1/7/2011,9403,437.20,263.33,4110991.60,2476091.99,1634899.61
"Sub-Saharan Africa",Kenya,Cosmetics,Offline,C,9/28/2016,377753579,9/28/2016,4533,437.20,263.33,1981827.60,1193674.89,788152.71
"Middle East and North Africa",Algeria,Meat,Online,H,4/30/2010,157430064,5/31/2010,5909,421.89,364.69,2492948.01,2154953.21,337994.80
Europe,Serbia,Fruits,Offline,M,2/23/2016,763676679,3/1/2016,7755,9.33,6.92,72354.15,53664.60,18689.55
"Australia and Oceania",Tuvalu,Meat,Online,H,6/20/2010,309042251,7/12/2010,1324,421.89,364.69,558582.36,482849.56,75732.80
"Sub-Saharan Africa","Mauritius ",Cereal,Online,M,1/20/2016,126388108,2/15/2016,9905,205.70,117.11,2037458.50,1159974.55,877483.95
Europe,Romania,Fruits,Offline,C,2/2/2015,718888080,2/12/2015,3813,9.33,6.92,35575.29,26385.96,9189.33
Europe,France,Meat,Offline,C,7/14/2013,410028493,8/14/2013,5398,421.89,364.69,2277362.22,1968596.62,308765.60
"Middle East and North Africa","Tunisia ",Beverages,Online,C,8/21/2014,293608176,9/19/2014,4039,47.45,31.79,191650.55,128399.81,63250.74
"Sub-Saharan Africa","Sierra Leone",Snacks,Online,M,2/16/2015,183738458,2/27/2015,1148,152.58,97.44,175161.84,111861.12,63300.72
"Middle East and North Africa",Yemen,Cosmetics,Offline,H,8/6/2016,864843165,8/28/2016,5166,437.20,263.33,2258575.20,1360362.78,898212.42
Europe,Malta,Fruits,Online,M,2/13/2014,941658627,3/4/2014,6568,9.33,6.92,61279.44,45450.56,15828.88
"Sub-Saharan Africa","Central African Republic","Personal Care",Offline,C,3/14/2015,889233672,4/30/2015,2859,81.73,56.67,233666.07,162019.53,71646.54
Europe,Denmark,"Personal Care",Online,C,4/4/2013,802929627,4/20/2013,3574,81.73,56.67,292103.02,202538.58,89564.44
"Australia and Oceania",Palau,Meat,Offline,C,2/22/2014,848420321,3/17/2014,5282,421.89,364.69,2228422.98,1926292.58,302130.40
Asia,Thailand,Meat,Offline,C,3/11/2017,811692082,4/10/2017,6580,421.89,364.69,2776036.20,2399660.20,376376.00
"Sub-Saharan Africa",Eritrea,Beverages,Online,C,6/12/2011,549043738,7/16/2011,3098,47.45,31.79,147000.10,98485.42,48514.68
"Central America and the Caribbean",Honduras,Meat,Online,L,4/22/2017,437086617,6/9/2017,2498,421.89,364.69,1053881.22,910995.62,142885.60
"Australia and Oceania","New Zealand",Meat,Offline,M,8/4/2014,922744548,8/26/2014,9472,421.89,364.69,3996142.08,3454343.68,541798.40
"Sub-Saharan Africa",Senegal,Household,Online,H,6/19/2014,273253858,7/10/2014,744,668.27,502.54,497192.88,373889.76,123303.12
"Sub-Saharan Africa",Liberia,Beverages,Offline,M,3/28/2010,426163375,5/14/2010,68,47.45,31.79,3226.60,2161.72,1064.88
Asia,Vietnam,Beverages,Online,H,6/2/2011,239334428,6/15/2011,3231,47.45,31.79,153310.95,102713.49,50597.46
"Sub-Saharan Africa",Benin,"Office Supplies",Offline,L,3/24/2017,440940845,4/19/2017,3049,651.21,524.96,1985539.29,1600603.04,384936.25
Asia,Cambodia,Beverages,Online,L,10/22/2012,479468953,10/22/2012,4373,47.45,31.79,207498.85,139017.67,68481.18
"Middle East and North Africa","Tunisia ","Baby Food",Offline,M,11/12/2010,773717582,12/25/2010,9081,255.28,159.42,2318197.68,1447693.02,870504.66
Europe,Belgium,"Baby Food",Online,H,1/10/2010,462798058,1/31/2010,1085,255.28,159.42,276978.80,172970.70,104008.10
Europe,Serbia,"Office Supplies",Online,M,10/10/2013,556134212,11/22/2013,1327,651.21,524.96,864155.67,696621.92,167533.75
Asia,China,Vegetables,Offline,H,7/4/2011,783462369,7/31/2011,2780,154.06,90.93,428286.80,252785.40,175501.40
"North America",Canada,Cosmetics,Offline,H,8/13/2012,944831359,9/14/2012,5450,437.20,263.33,2382740.00,1435148.50,947591.50
Europe,Spain,Beverages,Offline,L,6/4/2012,460602509,7/4/2012,1373,47.45,31.79,65148.85,43647.67,21501.18
"Sub-Saharan Africa","Mauritius ",Household,Online,H,2/3/2011,621449649,3/5/2011,9616,668.27,502.54,6426084.32,4832424.64,1593659.68
Europe,Albania,Vegetables,Online,C,6/4/2017,538359105,6/10/2017,1278,154.06,90.93,196888.68,116208.54,80680.14
Asia,India,Snacks,Online,C,10/15/2014,292629706,11/4/2014,4488,152.58,97.44,684779.04,437310.72,247468.32
"Middle East and North Africa",Afghanistan,Beverages,Online,C,4/30/2010,485872781,6/15/2010,9408,47.45,31.79,446409.60,299080.32,147329.28
Asia,Mongolia,Meat,Offline,M,1/16/2016,890012156,3/3/2016,3230,421.89,364.69,1362704.70,1177948.70,184756.00
"Middle East and North Africa",Iran,"Baby Food",Online,L,9/16/2014,897284162,11/4/2014,5178,255.28,159.42,1321839.84,825476.76,496363.08
