Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
Europe,Germany,Vegetables,Offline,C,7/12/2010,639022195,8/14/2010,9723,154.06,90.93,1497925.38,884112.39,613812.99
"Middle East and North Africa",Somalia,Household,Online,C,12/28/2012,403317821,2/7/2013,9561,668.27,502.54,6389329.47,4804784.94,1584544.53
Europe,"Vatican City",Clothes,Offline,C,4/18/2010,895746076,4/29/2010,24,109.28,35.84,2622.72,860.16,1762.56
"Australia and Oceania",Nauru,Fruits,Online,M,10/12/2012,678855788,10/22/2012,7368,9.33,6.92,68743.44,50986.56,17756.88
"Middle East and North Africa",Afghanistan,Meat,Offline,H,9/18/2016,635508286,10/4/2016,9879,421.89,364.69,4167851.31,3602772.51,565078.80
Asia,Taiwan,Cereal,Offline,M,8/21/2015,818877398,10/5/2015,2874,205.70,117.11,591181.80,336574.14,254607.66
"Sub-Saharan Africa",Guinea,Fruits,Online,H,9/20/2011,902449452,10/14/2011,3702,9.33,6.92,34539.66,25617.84,8921.82
Europe,Latvia,Fruits,Online,C,12/31/2011,630023276,1/24/2012,6743,9.33,6.92,62912.19,46661.56,16250.63
"Middle East and North Africa",Kuwait,Fruits,Offline,H,12/27/2016,265710198,1/19/2017,8407,9.33,6.92,78437.31,58176.44,20260.87
"Sub-Saharan Africa",Djibouti,Meat,Offline,L,12/3/2016,143934047,1/15/2017,2138,421.89,364.69,902000.82,779707.22,122293.60
Europe,"San Marino",Snacks,Online,L,8/30/2010,219431149,9/14/2010,3408,152.58,97.44,519992.64,332075.52,187917.12
Europe,Austria,Vegetables,Offline,H,1/26/2017,517250335,2/4/2017,4723,154.06,90.93,727625.38,429462.39,298162.99
"Sub-Saharan Africa",Zambia,Clothes,Online,L,8/21/2010,682752931,9/2/2010,619,109.28,35.84,67644.32,22184.96,45459.36
Europe,Slovakia,"Baby Food",Online,C,2/21/2016,431612765,4/5/2016,2663,255.28,159.42,679810.64,424535.46,255275.18
