Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
Europe,Georgia,"Personal Care",Online,M,1/25/2016,992225778,3/1/2016,512,81.73,56.67,41845.76,29015.04,12830.72
"Middle East and North Africa",Iraq,Cereal,Online,C,7/9/2017,890774333,7/17/2017,8775,205.70,117.11,1805017.50,1027640.25,777377.25
"Sub-Saharan Africa",Cameroon,Cereal,Online,H,12/10/2014,216674268,12/21/2014,7586,205.70,117.11,1560440.20,888396.46,672043.74
Europe,Greece,Meat,Online,H,10/10/2016,907474410,11/27/2016,699,421.89,364.69,294901.11,254918.31,39982.80
"Central America and the Caribbean","Costa Rica",Cereal,Online,L,5/24/2017,921036088,6/24/2017,3901,205.70,117.11,802435.70,456846.11,345589.59
Asia,Myanmar,"Personal Care",Offline,L,1/7/2016,985533130,1/23/2016,9,81.73,56.67,735.57,510.03,225.54
"Central America and the Caribbean","The Bahamas",Vegetables,Online,L,12/4/2012,549451863,12/24/2012,3871,154.06,90.93,596366.26,351990.03,244376.23
Asia,India,Cosmetics,Online,C,4/5/2013,931591117,5/24/2013,7368,437.20,263.33,3221289.60,1940215.44,1281074.16
Europe,Monaco,Fruits,Offline,L,8/25/2015,371062219,9/12/2015,4411,9.33,6.92,41154.63,30524.12,10630.51
Asia,"Sri Lanka",Cosmetics,Online,C,12/30/2015,777288997,2/5/2016,5942,437.20,263.33,2597842.40,1564706.86,1033135.54
"Middle East and North Africa","United Arab Emirates",Beverages,Online,H,4/9/2011,980007779,5/4/2011,4935,47.45,31.79,234165.75,156883.65,77282.10
Europe,Switzerland,"Baby Food",Offline,H,11/15/2010,779267394,12/26/2010,1394,255.28,159.42,355860.32,222231.48,133628.84
Europe,Finland,Vegetables,Offline,M,2/12/2010,495429170,2/17/2010,7356,154.06,90.93,1133265.36,668881.08,464384.28
"Central America and the Caribbean","Saint Vincent and the Grenadines","Baby Food",Offline,H,9/28/2016,519166934,10/27/2016,1888,255.28,159.42,481968.64,300984.96,180983.68
"Middle East and North Africa",Oman,"Baby Food",Online,L,10/31/2016,861467015,12/4/2016,6088,255.28,159.42,1554144.64,970548.96,583595.68
"Middle East and North Africa",Morocco,Fruits,Online,H,6/22/2016,703628242,7/25/2016,8088,9.33,6.92,75461.04,55968.96,19492.08
"Sub-Saharan Africa","Cape Verde","Office Supplies",Online,L,3/29/2015,647261941,3/29/2015,8047,651.21,524.96,5240286.87,4224353.12,1015933.75
Asia,Taiwan,Meat,Online,C,7/21/2017,464291942,9/8/2017,3158,421.89,364.69,1332328.62,1151691.02,180637.60
"Sub-Saharan Africa",Mozambique,Clothes,Online,M,10/5/2013,446954572,10/9/2013,2645,109.28,35.84,289045.60,94796.80,194248.80
"North America",Mexico,Cosmetics,Online,H,3/17/2014,957798659,4/19/2014,2763,437.20,263.33,1207983.60,727580.79,480402.81
"Sub-Saharan Africa",Uganda,Beverages,Online,M,2/26/2015,179685533,3/9/2015,1797,47.45,31.79,85267.65,57126.63,28141.02
"Sub-Saharan Africa",Zimbabwe,Household,Offline,M,2/20/2010,865789020,2/25/2010,5065,668.27,502.54,3384787.55,2545365.10,839422.45
Europe,Serbia,Meat,Online,M,6/27/2016,889595448,8/12/2016,9917,421.89,364.69,4183883.13,3616630.73,567252.40
"Sub-Saharan Africa",Zambia,Beverages,Offline,L,12/9/2010,894903647,1/27/2011,731,47.45,31.79,34685.95,23238.49,11447.46
Europe,Iceland,Beverages,Online,C,9/23/2016,245824944,11/8/2016,3919,47.45,31.79,185956.55,124585.01,61371.54
Europe,Norway,Clothes,Offline,C,7/7/2016,176783168,7/13/2016,2923,109.28,35.84,319425.44,104760.32,214665.12
"Central America and the Caribbean",Haiti,Vegetables,Online,L,9/25/2016,642514646,10/8/2016,3217,154.06,90.93,495611.02,292521.81,203089.21
"Sub-Saharan Africa","Democratic Republic of the Congo",Clothes,Online,H,7/12/2013,768068206,8/18/2013,7305,109.28,35.84,798290.40,261811.20,536479.20
Europe,Switzerland,Household,Online,H,9/6/2011,198805177,9/17/2011,9725,668.27,502.54,6498925.75,4887201.50,1611724.25
Asia,Turkmenistan,Cereal,Offline,H,4/1/2013,450399386,4/10/2013,2042,205.70,117.11,420039.40,239138.62,180900.78
"Central America and the Caribbean",Haiti,"Personal Care",Offline,C,10/14/2013,858837163,10/30/2013,7857,81.73,56.67,642152.61,445256.19,196896.42
Europe,Iceland,Snacks,Online,M,9/10/2013,830417335,9/16/2013,7798,152.58,97.44,1189818.84,759837.12,429981.72
"Sub-Saharan Africa","Cote d'Ivoire","Office Supplies",Offline,H,6/10/2014,291751229,6/26/2014,4527,651.21,524.96,2948027.67,2376493.92,571533.75
Europe,Hungary,Snacks,Offline,H,10/10/2014,139762675,11/1/2014,7736,152.58,97.44,1180358.88,753795.84,426563.04
"Sub-Saharan Africa",Tanzania,Vegetables,Offline,M,7/4/2014,891688001,7/16/2014,9150,154.06,90.93,1409649.00,832009.50,577639.50
Europe,Austria,Meat,Offline,L,9/22/2010,435076034,10/6/2010,7522,421.89,364.69,3173456.58,2743198.18,430258.40
Europe,Macedonia,Vegetables,Offline,C,9/24/2016,777788102,10/12/2016,3638,154.06,90.93,560470.28,330803.34,229666.94
"Central America and the Caribbean","The Bahamas",Cosmetics,Online,M,10/24/2012,397998034,10/26/2012,5318,437.20,263.33,2325029.60,1400388.94,924640.66
"Sub-Saharan Africa",Senegal,Beverages,Offline,M,8/13/2010,994192159,8/22/2010,2408,47.45,31.79,114259.60,76550.32,37709.28
"Sub-Saharan Africa",Senegal,Snacks,Offline,C,6/27/2011,735169303,7/16/2011,1789,152.58,97.44,272965.62,174320.16,98645.46
Asia,Bangladesh,Household,Offline,M,4/8/2010,110040795,5/3/2010,2372,668.27,502.54,1585136.44,1192024.88,393111.56
Asia,"Sri Lanka",Vegetables,Online,H,3/24/2014,578230464,4/1/2014,99,154.06,90.93,15251.94,9002.07,6249.87
"Sub-Saharan Africa",Uganda,"Personal Care",Online,L,7/18/2016,519474637,8/2/2016,2944,81.73,56.67,240613.12,166836.48,73776.64
Europe,Slovenia,Cosmetics,Offline,C,4/7/2015,183822143,5/5/2015,5912,437.20,263.33,2584726.40,1556806.96,1027919.44
"Sub-Saharan Africa","South Sudan","Personal Care",Offline,L,1/21/2017,341634309,3/7/2017,6039,81.73,56.67,493567.47,342230.13,151337.34
Europe,Monaco,"Personal Care",Offline,H,9/24/2010,933584964,11/11/2010,7392,81.73,56.67,604148.16,418904.64,185243.52
Europe,Poland,"Office Supplies",Online,H,6/11/2016,620660436,7/19/2016,6070,651.21,524.96,3952844.70,3186507.20,766337.50
"Central America and the Caribbean",Guatemala,"Personal Care",Offline,C,10/12/2013,834159553,12/1/2013,5203,81.73,56.67,425241.19,294854.01,130387.18
Europe,Norway,"Office Supplies",Online,C,9/3/2013,825693643,10/7/2013,9952,651.21,524.96,6480841.92,5224401.92,1256440.00
"Australia and Oceania",Kiribati,Cereal,Online,H,10/4/2016,817186534,11/1/2016,2510,205.70,117.11,516307.00,293946.10,222360.90
"Sub-Saharan Africa",Uganda,Clothes,Online,H,3/4/2017,650874555,4/7/2017,7099,109.28,35.84,775778.72,254428.16,521350.56
"Central America and the Caribbean","El Salvador",Meat,Offline,C,11/23/2013,239306533,1/3/2014,4976,421.89,364.69,2099324.64,1814697.44,284627.20
Asia,Thailand,Fruits,Online,H,7/20/2014,915343797,7/21/2014,9425,9.33,6.92,87935.25,65221.00,22714.25
Asia,Cambodia,Cereal,Offline,H,6/18/2016,482160174,6/25/2016,765,205.70,117.11,157360.50,89589.15,67771.35
"Sub-Saharan Africa",Benin,Household,Online,M,6/13/2010,863241994,6/26/2010,1344,668.27,502.54,898154.88,675413.76,222741.12
"Sub-Saharan Africa","South Africa","Baby Food",Online,H,11/25/2014,452388083,12/5/2014,542,255.28,159.42,138361.76,86405.64,51956.12
Europe,Cyprus,"Office Supplies",Offline,H,5/29/2011,863709771,6/3/2011,9770,651.21,524.96,6362321.70,5128859.20,1233462.50
Asia,Myanmar,Snacks,Offline,H,9/12/2016,181630885,10/26/2016,7470,152.58,97.44,1139772.60,727876.80,411895.80
Asia,Vietnam,"Personal Care",Online,H,9/16/2010,610887753,10/18/2010,4116,81.73,56.67,336400.68,233253.72,103146.96
"Sub-Saharan Africa",Nigeria,Fruits,Online,M,2/1/2016,826529204,2/16/2016,7214,9.33,6.92,67306.62,49920.88,17385.74
Europe,"Moldova ",Cereal,Offline,H,2/8/2011,923916566,2/11/2011,6298,205.70,117.11,1295498.60,737558.78,557939.82
"Central America and the Caribbean","Antigua and Barbuda ",Meat,Online,H,10/4/2016,168723666,11/18/2016,7937,421.89,364.69,3348540.93,2894544.53,453996.40
"Sub-Saharan Africa","Equatorial Guinea","Personal Care",Offline,M,3/29/2017,146936833,5/17/2017,729,81.73,56.67,59581.17,41312.43,18268.74
"Sub-Saharan Africa",Uganda,"Personal Care",Offline,L,9/27/2016,714854896,10/10/2016,304,81.73,56.67,24845.92,17227.68,7618.24
"Sub-Saharan Africa","Sierra Leone",Meat,Offline,H,12/7/2012,449089181,12/10/2012,4323,421.89,364.69,1823830.47,1576554.87,247275.60
"Sub-Saharan Africa","Mauritius ",Vegetables,Offline,M,12/8/2015,696563518,12/25/2015,7479,154.06,90.93,1152214.74,680065.47,472149.27
"Sub-Saharan Africa","Seychelles ",Beverages,Offline,H,3/11/2014,624514234,3/31/2014,6495,47.45,31.79,308187.75,206476.05,101711.70
Europe,Russia,Cosmetics,Online,C,2/25/2016,370490157,3/9/2016,5125,437.20,263.33,2240650.00,1349566.25,891083.75
Asia,India,Snacks,Online,H,3/9/2016,592352616,3/21/2016,9157,152.58,97.44,1397175.06,892258.08,504916.98
Europe,Belarus,Meat,Offline,C,7/7/2013,218275439,7/28/2013,1408,421.89,364.69,594021.12,513483.52,80537.60
"Australia and Oceania",Australia,Snacks,Online,M,12/29/2015,496744954,1/3/2016,6726,152.58,97.44,1026253.08,655381.44,370871.64
"Australia and Oceania",Nauru,Fruits,Offline,L,8/12/2013,946559989,9/3/2013,6990,9.33,6.92,65216.70,48370.80,16845.90
Europe,Denmark,Vegetables,Offline,M,7/29/2012,706831872,9/6/2012,6113,154.06,90.93,941768.78,555855.09,385913.69
Europe,Ireland,Vegetables,Offline,M,5/12/2016,786984431,5/24/2016,5037,154.06,90.93,776000.22,458014.41,317985.81
Europe,Croatia,"Office Supplies",Offline,M,5/14/2014,916753995,5/26/2014,6734,651.21,524.96,4385248.14,3535080.64,850167.50
"Sub-Saharan Africa",Ethiopia,Cereal,Online,M,12/28/2015,896189391,2/14/2016,1211,205.70,117.11,249102.70,141820.21,107282.49
"Middle East and North Africa",Iran,Cosmetics,Online,M,7/17/2016,145651948,8/26/2016,503,437.20,263.33,219911.60,132454.99,87456.61
Europe,Slovakia,Beverages,Online,H,3/11/2016,855815494,4/30/2016,3678,47.45,31.79,174521.10,116923.62,57597.48
Europe,Portugal,Cereal,Online,C,3/4/2016,337666356,4/21/2016,1833,205.70,117.11,377048.10,214662.63,162385.47
"Middle East and North Africa",Yemen,Clothes,Offline,M,12/29/2014,472503364,2/16/2015,3100,109.28,35.84,338768.00,111104.00,227664.00
"Australia and Oceania","Papua New Guinea",Household,Offline,L,3/23/2012,961937844,4/16/2012,7639,668.27,502.54,5104914.53,3838903.06,1266011.47
Asia,Cambodia,Meat,Online,H,4/19/2012,677893626,5/29/2012,2643,421.89,364.69,1115055.27,963875.67,151179.60
"Sub-Saharan Africa","The Gambia",Beverages,Offline,C,2/17/2013,812607038,3/9/2013,7335,47.45,31.79,348045.75,233179.65,114866.10
"Sub-Saharan Africa",Zimbabwe,"Personal Care",Offline,L,6/28/2017,828626906,7/29/2017,7970,81.73,56.67,651388.10,451659.90,199728.20
Asia,Tajikistan,Beverages,Online,H,1/24/2014,708814561,3/15/2014,2835,47.45,31.79,134520.75,90124.65,44396.10
Europe,Italy,"Office Supplies",Online,M,7/18/2011,506343829,8/29/2011,7246,651.21,524.96,4718667.66,3803860.16,914807.50
"Central America and the Caribbean",Haiti,Fruits,Offline,L,2/7/2012,794701039,3/16/2012,8552,9.33,6.92,79790.16,59179.84,20610.32
Asia,Philippines,Snacks,Online,M,3/13/2015,417685019,3/17/2015,1134,152.58,97.44,173025.72,110496.96,62528.76
Asia,Indonesia,Fruits,Online,C,10/10/2013,539407098,11/2/2013,1402,9.33,6.92,13080.66,9701.84,3378.82
"Australia and Oceania",Tuvalu,Clothes,Offline,H,3/19/2013,594291102,4/1/2013,2799,109.28,35.84,305874.72,100316.16,205558.56
Europe,Monaco,Cosmetics,Offline,H,5/17/2012,537073361,5/24/2012,797,437.20,263.33,348448.40,209874.01,138574.39
"Middle East and North Africa",Pakistan,"Personal Care",Offline,H,12/22/2014,392802703,1/17/2015,7904,81.73,56.67,645993.92,447919.68,198074.24
Asia,Taiwan,Snacks,Offline,L,8/25/2010,706840455,8/28/2010,8653,152.58,97.44,1320274.74,843148.32,477126.42
"Middle East and North Africa","Saudi Arabia",Clothes,Offline,H,8/8/2016,294860446,8/19/2016,4613,109.28,35.84,504108.64,165329.92,338778.72
"Central America and the Caribbean",Jamaica,Beverages,Offline,M,3/30/2013,292849004,5/6/2013,9383,47.45,31.79,445223.35,298285.57,146937.78
"Sub-Saharan Africa","Central African Republic",Cosmetics,Online,M,2/12/2016,107104957,2/15/2016,3592,437.20,263.33,1570422.40,945881.36,624541.04
"Sub-Saharan Africa",Guinea,Snacks,Online,L,7/19/2011,564239633,9/5/2011,9901,152.58,97.44,1510694.58,964753.44,545941.14
"North America",Greenland,Household,Online,M,6/5/2013,761176860,7/20/2013,8003,668.27,502.54,5348164.81,4021827.62,1326337.19
"Central America and the Caribbean","El Salvador",Clothes,Online,H,12/29/2013,315152966,2/2/2014,9621,109.28,35.84,1051382.88,344816.64,706566.24
"Australia and Oceania","East Timor",Clothes,Online,H,5/4/2010,713716781,6/18/2010,3511,109.28,35.84,383682.08,125834.24,257847.84
