Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"North America",Mexico,"Office Supplies",Offline,L,3/8/2017,317512452,4/22/2017,7845,651.21,524.96,5108742.45,4118311.20,990431.25
"Middle East and North Africa","United Arab Emirates",Cosmetics,Offline,H,11/15/2016,338833224,12/16/2016,7136,437.20,263.33,3119859.20,1879122.88,1240736.32
"Central America and the Caribbean","Saint Vincent and the Grenadines",Vegetables,Online,M,2/10/2014,123247563,3/24/2014,548,154.06,90.93,84424.88,49829.64,34595.24
Asia,Turkmenistan,Snacks,Offline,L,11/16/2016,877054297,11/17/2016,8712,152.58,97.44,1329276.96,848897.28,480379.68
Asia,Brunei,Beverages,Online,L,6/27/2011,726864755,8/13/2011,4288,47.45,31.79,203465.60,136315.52,67150.08
Asia,Bangladesh,"Office Supplies",Offline,L,11/1/2011,569602763,11/4/2011,6970,651.21,524.96,4538933.70,3658971.20,879962.50
"Sub-Saharan Africa",Burundi,"Office Supplies",Online,M,2/28/2010,922504651,3/10/2010,8481,651.21,524.96,5522912.01,4452185.76,1070726.25
Asia,"North Korea","Office Supplies",Offline,L,2/16/2011,573119246,4/2/2011,7576,651.21,524.96,4933566.96,3977096.96,956470.00
"Australia and Oceania",Palau,Household,Offline,L,11/20/2012,629307878,1/5/2013,5040,668.27,502.54,3368080.80,2532801.60,835279.20
"Sub-Saharan Africa","Central African Republic",Fruits,Offline,C,11/17/2010,469244372,12/31/2010,8692,9.33,6.92,81096.36,60148.64,20947.72
Europe,Lithuania,Fruits,Offline,C,9/27/2016,891415059,10/27/2016,8380,9.33,6.92,78185.40,57989.60,20195.80
"Central America and the Caribbean",Nicaragua,Snacks,Offline,M,9/5/2016,964618766,10/9/2016,984,152.58,97.44,150138.72,95880.96,54257.76
"Sub-Saharan Africa",Mali,Clothes,Online,H,2/9/2013,277966821,3/31/2013,5414,109.28,35.84,591641.92,194037.76,397604.16
"Sub-Saharan Africa","The Gambia","Baby Food",Online,H,4/18/2013,290883052,4/27/2013,7614,255.28,159.42,1943701.92,1213823.88,729878.04
"Middle East and North Africa",Morocco,Cosmetics,Offline,L,6/4/2010,283103787,6/11/2010,5557,437.20,263.33,2429520.40,1463324.81,966195.59
Europe,Albania,Cosmetics,Offline,M,2/8/2010,504677855,3/8/2010,4247,437.20,263.33,1856788.40,1118362.51,738425.89
"Australia and Oceania",Kiribati,Meat,Online,M,6/10/2011,825966584,6/26/2011,722,421.89,364.69,304604.58,263306.18,41298.40
"Central America and the Caribbean","Dominican Republic",Clothes,Online,M,10/21/2010,287643802,10/29/2010,9048,109.28,35.84,988765.44,324280.32,664485.12
Europe,"United Kingdom",Fruits,Offline,L,3/22/2013,250695836,3/24/2013,5324,9.33,6.92,49672.92,36842.08,12830.84
Europe,Kosovo,Household,Offline,H,5/31/2013,346421515,7/4/2013,2680,668.27,502.54,1790963.60,1346807.20,444156.40
"Sub-Saharan Africa",Guinea,Cereal,Online,C,9/28/2014,726432168,10/1/2014,6276,205.70,117.11,1290973.20,734982.36,555990.84
"Central America and the Caribbean",Grenada,Clothes,Offline,L,4/9/2010,712651622,5/28/2010,8306,109.28,35.84,907679.68,297687.04,609992.64
"Sub-Saharan Africa",Djibouti,Beverages,Offline,H,11/6/2016,147316205,11/27/2016,2994,47.45,31.79,142065.30,95179.26,46886.04
Europe,Kosovo,"Personal Care",Online,C,10/1/2010,742974746,10/11/2010,1593,81.73,56.67,130195.89,90275.31,39920.58
"Sub-Saharan Africa",Chad,Household,Offline,C,9/24/2014,232488572,10/13/2014,7390,668.27,502.54,4938515.30,3713770.60,1224744.70
"Middle East and North Africa",Jordan,Vegetables,Offline,C,12/23/2010,919031512,1/30/2011,702,154.06,90.93,108150.12,63832.86,44317.26
"Middle East and North Africa",Syria,Cosmetics,Online,H,1/9/2013,226089894,1/31/2013,3879,437.20,263.33,1695898.80,1021457.07,674441.73
"Sub-Saharan Africa",Botswana,Cereal,Offline,C,7/18/2016,147462546,8/1/2016,6299,205.70,117.11,1295704.30,737675.89,558028.41
"Middle East and North Africa",Algeria,"Personal Care",Online,H,9/13/2010,497260797,10/3/2010,9375,81.73,56.67,766218.75,531281.25,234937.50
"Sub-Saharan Africa",Guinea,"Personal Care",Offline,H,3/21/2012,259908473,4/24/2012,1548,81.73,56.67,126518.04,87725.16,38792.88
Europe,Serbia,Vegetables,Online,M,3/8/2016,740141904,3/21/2016,3292,154.06,90.93,507165.52,299341.56,207823.96
"Central America and the Caribbean","Saint Vincent and the Grenadines","Office Supplies",Offline,C,12/13/2014,613009917,12/17/2014,2112,651.21,524.96,1375355.52,1108715.52,266640.00
Europe,"United Kingdom",Cereal,Offline,H,1/30/2017,873873841,2/14/2017,7544,205.70,117.11,1551800.80,883477.84,668322.96
"Sub-Saharan Africa",Eritrea,Clothes,Online,L,4/14/2013,788407504,5/29/2013,6155,109.28,35.84,672618.40,220595.20,452023.20
"Sub-Saharan Africa",Niger,"Personal Care",Offline,H,6/21/2010,142597234,6/23/2010,6545,81.73,56.67,534922.85,370905.15,164017.70
"Sub-Saharan Africa","Democratic Republic of the Congo",Clothes,Online,C,10/27/2012,592741858,12/3/2012,4343,109.28,35.84,474603.04,155653.12,318949.92
