Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Sub-Saharan Africa",Sudan,Beverages,Online,L,7/11/2017,559930932,8/24/2017,4861,47.45,31.79,230654.45,154531.19,76123.26
"Middle East and North Africa",Somalia,Vegetables,Online,C,5/29/2013,307417476,7/16/2013,517,154.06,90.93,79649.02,47010.81,32638.21
"Central America and the Caribbean","Trinidad and Tobago","Office Supplies",Offline,M,6/29/2010,315458524,8/11/2010,42,651.21,524.96,27350.82,22048.32,5302.50
"Middle East and North Africa",Somalia,"Baby Food",Online,C,5/22/2014,834102904,6/4/2014,8440,255.28,159.42,2154563.20,1345504.80,809058.40
"Australia and Oceania",Tuvalu,"Personal Care",Online,L,8/16/2016,833711946,8/21/2016,2746,81.73,56.67,224430.58,155615.82,68814.76
Europe,Belgium,Clothes,Online,C,7/31/2013,254959475,8/4/2013,7029,109.28,35.84,768129.12,251919.36,516209.76
Europe,Montenegro,"Baby Food",Offline,L,4/10/2010,458831822,4/18/2010,7387,255.28,159.42,1885753.36,1177635.54,708117.82
Asia,Myanmar,Household,Offline,H,7/28/2016,176627814,7/31/2016,6950,668.27,502.54,4644476.50,3492653.00,1151823.50
"Sub-Saharan Africa",Malawi,Cereal,Online,L,2/13/2013,459958779,3/24/2013,879,205.70,117.11,180810.30,102939.69,77870.61
"North America",Canada,Meat,Offline,H,9/15/2015,630748546,9/18/2015,1366,421.89,364.69,576301.74,498166.54,78135.20
Asia,Thailand,"Baby Food",Offline,M,11/19/2010,531233441,1/6/2011,2635,255.28,159.42,672662.80,420071.70,252591.10
"Sub-Saharan Africa",Mauritania,Clothes,Offline,M,10/13/2012,973962295,10/25/2012,5941,109.28,35.84,649232.48,212925.44,436307.04
"Sub-Saharan Africa","Republic of the Congo",Household,Online,M,11/18/2013,591796433,1/7/2014,4571,668.27,502.54,3054662.17,2297110.34,757551.83
Europe,France,Clothes,Offline,H,7/3/2011,787909686,7/3/2011,8840,109.28,35.84,966035.20,316825.60,649209.60
Asia,Tajikistan,Household,Offline,M,8/12/2011,785788381,8/31/2011,1099,668.27,502.54,734428.73,552291.46,182137.27
"Sub-Saharan Africa","Mauritius ","Office Supplies",Offline,L,6/15/2017,779231345,8/4/2017,726,651.21,524.96,472778.46,381120.96,91657.50
Asia,Vietnam,Meat,Offline,H,8/14/2010,582349908,9/30/2010,9134,421.89,364.69,3853543.26,3331078.46,522464.80
"Middle East and North Africa",Algeria,Household,Offline,M,5/29/2015,979567897,6/2/2015,4764,668.27,502.54,3183638.28,2394100.56,789537.72
"Sub-Saharan Africa",Namibia,Fruits,Online,L,10/3/2011,575621640,11/3/2011,8090,9.33,6.92,75479.70,55982.80,19496.90
Europe,"United Kingdom",Beverages,Online,C,9/26/2014,745559966,10/18/2014,6617,47.45,31.79,313976.65,210354.43,103622.22
Europe,Serbia,Beverages,Offline,C,3/14/2010,684744203,4/21/2010,9881,47.45,31.79,468853.45,314116.99,154736.46
Europe,Georgia,Meat,Online,L,7/25/2011,558848178,8/17/2011,4450,421.89,364.69,1877410.50,1622870.50,254540.00
"Central America and the Caribbean","Trinidad and Tobago","Baby Food",Offline,L,8/6/2010,153858220,9/16/2010,8921,255.28,159.42,2277352.88,1422185.82,855167.06
Europe,Cyprus,Meat,Online,M,6/26/2011,226073157,8/4/2011,8926,421.89,364.69,3765790.14,3255222.94,510567.20
"Middle East and North Africa",Algeria,"Baby Food",Online,L,11/29/2011,252104318,12/29/2011,2125,255.28,159.42,542470.00,338767.50,203702.50
Europe,Georgia,"Personal Care",Offline,H,5/29/2014,678875529,6/12/2014,3210,81.73,56.67,262353.30,181910.70,80442.60
Asia,Cambodia,"Baby Food",Offline,H,12/31/2014,673623120,1/5/2015,8906,255.28,159.42,2273523.68,1419794.52,853729.16
"Central America and the Caribbean",Jamaica,Fruits,Online,H,7/25/2014,373895919,7/31/2014,2966,9.33,6.92,27672.78,20524.72,7148.06
"Central America and the Caribbean","Antigua and Barbuda ","Baby Food",Offline,H,1/16/2015,437555253,2/17/2015,1178,255.28,159.42,300719.84,187796.76,112923.08
"Central America and the Caribbean",Barbados,Beverages,Online,L,8/28/2015,692774951,10/3/2015,6358,47.45,31.79,301687.10,202120.82,99566.28
Europe,Bulgaria,"Personal Care",Offline,H,9/7/2016,588041341,10/11/2016,3355,81.73,56.67,274204.15,190127.85,84076.30
