Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Central America and the Caribbean",Barbados,"Personal Care",Online,H,10/5/2014,413064324,10/11/2014,3768,81.73,56.67,307958.64,213532.56,94426.08
Europe,"Vatican City",Cereal,Online,M,6/2/2011,559354579,7/4/2011,4305,205.70,117.11,885538.50,504158.55,381379.95
"Middle East and North Africa",Qatar,Fruits,Online,M,4/7/2017,818543088,4/30/2017,3944,9.33,6.92,36797.52,27292.48,9505.04
"North America",Canada,Fruits,Online,L,4/19/2013,315678679,4/20/2013,5191,9.33,6.92,48432.03,35921.72,12510.31
"Middle East and North Africa",Iran,Clothes,Offline,L,11/15/2011,496122682,11/15/2011,2581,109.28,35.84,282051.68,92503.04,189548.64
Europe,Bulgaria,Household,Offline,C,1/17/2015,175548923,3/2/2015,7682,668.27,502.54,5133650.14,3860512.28,1273137.86
"Australia and Oceania",Nauru,Household,Online,H,10/18/2010,489943730,11/4/2010,4092,668.27,502.54,2734560.84,2056393.68,678167.16
"North America",Greenland,"Office Supplies",Online,L,9/4/2014,845605933,10/17/2014,2442,651.21,524.96,1590254.82,1281952.32,308302.50
Europe,Greece,"Office Supplies",Offline,M,1/2/2013,269146859,1/11/2013,5392,651.21,524.96,3511324.32,2830584.32,680740.00
Asia,Uzbekistan,Cosmetics,Online,C,2/8/2012,557490336,3/21/2012,2634,437.20,263.33,1151584.80,693611.22,457973.58
Europe,Poland,Cereal,Offline,L,10/14/2011,427872693,11/12/2011,5893,205.70,117.11,1212190.10,690129.23,522060.87
Europe,Belarus,"Personal Care",Online,C,9/15/2016,467842757,11/2/2016,3923,81.73,56.67,320626.79,222316.41,98310.38
"North America",Canada,Clothes,Online,M,6/15/2017,885261857,7/25/2017,7511,109.28,35.84,820802.08,269194.24,551607.84
Europe,"Moldova ",Snacks,Offline,M,1/13/2017,158303821,2/14/2017,4473,152.58,97.44,682490.34,435849.12,246641.22
Asia,Vietnam,Beverages,Offline,H,12/12/2011,885454976,12/28/2011,4659,47.45,31.79,221069.55,148109.61,72959.94
"Middle East and North Africa",Morocco,"Baby Food",Online,L,2/9/2011,335514152,3/6/2011,4948,255.28,159.42,1263125.44,788810.16,474315.28
Asia,Mongolia,"Baby Food",Offline,L,12/8/2016,797592675,1/27/2017,4252,255.28,159.42,1085450.56,677853.84,407596.72
"Central America and the Caribbean",Cuba,Snacks,Online,H,12/24/2013,131114375,1/15/2014,8512,152.58,97.44,1298760.96,829409.28,469351.68
Europe,Luxembourg,Cosmetics,Online,M,7/27/2010,315815579,9/4/2010,5703,437.20,263.33,2493351.60,1501770.99,991580.61
"Sub-Saharan Africa","Central African Republic",Snacks,Online,C,4/24/2012,701745116,5/25/2012,829,152.58,97.44,126488.82,80777.76,45711.06
Europe,"Moldova ",Vegetables,Online,H,9/28/2010,259264314,11/14/2010,927,154.06,90.93,142813.62,84292.11,58521.51
Asia,Bangladesh,Vegetables,Offline,M,5/18/2017,729047000,6/8/2017,63,154.06,90.93,9705.78,5728.59,3977.19
"Sub-Saharan Africa",Burundi,Cosmetics,Offline,M,7/10/2014,772079503,7/11/2014,4337,437.20,263.33,1896136.40,1142062.21,754074.19
"Middle East and North Africa",Azerbaijan,Vegetables,Online,M,1/16/2012,919660651,2/9/2012,6878,154.06,90.93,1059624.68,625416.54,434208.14
"Australia and Oceania","Solomon Islands",Cereal,Offline,H,4/21/2013,423401772,5/31/2013,2848,205.70,117.11,585833.60,333529.28,252304.32
Asia,Philippines,Household,Offline,H,5/15/2011,405226695,6/20/2011,4439,668.27,502.54,2966450.53,2230775.06,735675.47
Europe,Germany,Cosmetics,Offline,M,7/8/2015,707371747,7/22/2015,5874,437.20,263.33,2568112.80,1546800.42,1021312.38
"Australia and Oceania",Vanuatu,Clothes,Online,L,2/26/2017,342385756,3/11/2017,8409,109.28,35.84,918935.52,301378.56,617556.96
Asia,Turkmenistan,Vegetables,Offline,L,5/4/2016,643130052,6/10/2016,5329,154.06,90.93,820985.74,484565.97,336419.77
Europe,Andorra,"Baby Food",Offline,M,5/23/2010,312778460,6/17/2010,6952,255.28,159.42,1774706.56,1108287.84,666418.72
"Sub-Saharan Africa",Nigeria,Vegetables,Online,H,11/4/2012,374817311,12/8/2012,5627,154.06,90.93,866895.62,511663.11,355232.51
