Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Sub-Saharan Africa",Sudan,Household,Offline,L,8/9/2012,266141068,9/12/2012,5911,668.27,502.54,3950143.97,2970513.94,979630.03
Europe,Germany,"Baby Food",Online,M,5/19/2012,819309985,6/26/2012,886,255.28,159.42,226178.08,141246.12,84931.96
"Middle East and North Africa",Egypt,Snacks,Online,H,4/14/2013,759400594,5/13/2013,2366,152.58,97.44,361004.28,230543.04,130461.24
Europe,Georgia,Clothes,Offline,H,11/17/2012,505211722,11/30/2012,2230,109.28,35.84,243694.40,79923.20,163771.20
"Sub-Saharan Africa","Sao Tome and Principe",Cosmetics,Online,L,5/14/2017,995854699,5/21/2017,4390,437.20,263.33,1919308.00,1156018.70,763289.30
"Australia and Oceania",Tuvalu,"Office Supplies",Offline,M,1/30/2015,540753352,2/19/2015,9788,651.21,524.96,6374043.48,5138308.48,1235735.00
"Australia and Oceania",Tonga,Clothes,Online,L,7/25/2010,669644010,8/15/2010,1398,109.28,35.84,152773.44,50104.32,102669.12
Europe,Netherlands,"Office Supplies",Online,H,3/19/2013,282575500,4/5/2013,9225,651.21,524.96,6007412.25,4842756.00,1164656.25
"Sub-Saharan Africa","Sierra Leone",Meat,Online,M,10/9/2010,599909150,11/10/2010,5304,421.89,364.69,2237704.56,1934315.76,303388.80
Asia,Vietnam,Cosmetics,Offline,C,12/23/2010,212318789,1/16/2011,8703,437.20,263.33,3804951.60,2291760.99,1513190.61
Asia,Kazakhstan,Cosmetics,Online,M,1/23/2015,930790746,2/8/2015,521,437.20,263.33,227781.20,137194.93,90586.27
"Sub-Saharan Africa",Gabon,Meat,Offline,L,12/18/2013,136623847,1/8/2014,8887,421.89,364.69,3749336.43,3241000.03,508336.40
Europe,"Czech Republic","Baby Food",Offline,M,10/29/2014,231429421,11/11/2014,3964,255.28,159.42,1011929.92,631940.88,379989.04
"Middle East and North Africa",Oman,"Office Supplies",Offline,M,7/5/2014,987131297,7/10/2014,2942,651.21,524.96,1915859.82,1544432.32,371427.50
"Sub-Saharan Africa","The Gambia",Fruits,Online,H,12/4/2010,895965802,12/28/2010,5046,9.33,6.92,47079.18,34918.32,12160.86
"Sub-Saharan Africa","Central African Republic",Fruits,Offline,H,6/2/2014,320481765,7/5/2014,6531,9.33,6.92,60934.23,45194.52,15739.71
"Central America and the Caribbean","Saint Lucia",Clothes,Offline,M,9/5/2013,143540513,9/16/2013,5682,109.28,35.84,620928.96,203642.88,417286.08
"Central America and the Caribbean",Jamaica,"Office Supplies",Online,M,5/23/2017,418315875,6/16/2017,7818,651.21,524.96,5091159.78,4104137.28,987022.50
"North America",Greenland,Fruits,Offline,H,8/2/2012,818294179,8/2/2012,287,9.33,6.92,2677.71,1986.04,691.67
"Sub-Saharan Africa",Botswana,Snacks,Online,H,11/14/2013,187274253,11/24/2013,7468,152.58,97.44,1139467.44,727681.92,411785.52
"Middle East and North Africa",Qatar,Cereal,Online,C,3/10/2014,589367425,4/11/2014,5773,205.70,117.11,1187506.10,676076.03,511430.07
"Sub-Saharan Africa",Guinea,Vegetables,Online,M,5/5/2011,558997523,6/11/2011,8644,154.06,90.93,1331694.64,785998.92,545695.72
"Sub-Saharan Africa",Guinea-Bissau,"Office Supplies",Offline,M,10/7/2011,950900876,10/12/2011,1555,651.21,524.96,1012631.55,816312.80,196318.75
Asia,Nepal,Meat,Online,H,8/10/2011,890126311,8/20/2011,7011,421.89,364.69,2957870.79,2556841.59,401029.20
Europe,"San Marino",Cosmetics,Offline,H,8/25/2015,922035157,9/29/2015,9548,437.20,263.33,4174385.60,2514274.84,1660110.76
Asia,Kyrgyzstan,Meat,Offline,H,10/18/2010,762301242,10/19/2010,732,421.89,364.69,308823.48,266953.08,41870.40
"Sub-Saharan Africa",Sudan,"Baby Food",Offline,L,4/29/2015,646910893,6/14/2015,4164,255.28,159.42,1062985.92,663824.88,399161.04
Europe,Germany,"Office Supplies",Offline,H,6/30/2014,882162940,8/11/2014,472,651.21,524.96,307371.12,247781.12,59590.00
"Sub-Saharan Africa",Madagascar,Fruits,Online,H,5/5/2017,494668710,5/31/2017,2319,9.33,6.92,21636.27,16047.48,5588.79
"Sub-Saharan Africa",Uganda,"Baby Food",Online,C,1/17/2015,381352031,2/12/2015,9395,255.28,159.42,2398355.60,1497750.90,900604.70
Europe,Albania,Cereal,Online,M,12/25/2014,159449231,1/22/2015,3426,205.70,117.11,704728.20,401218.86,303509.34
"Sub-Saharan Africa","South Sudan",Snacks,Offline,C,4/1/2014,416509139,4/12/2014,3165,152.58,97.44,482915.70,308397.60,174518.10
"Central America and the Caribbean",Grenada,Meat,Online,H,12/30/2010,460393083,1/14/2011,9399,421.89,364.69,3965344.11,3427721.31,537622.80
"Sub-Saharan Africa",Chad,Cosmetics,Online,M,10/21/2015,569274890,11/8/2015,9945,437.20,263.33,4347954.00,2618816.85,1729137.15
Europe,Finland,"Baby Food",Offline,M,1/10/2010,641640889,1/22/2010,4653,255.28,159.42,1187817.84,741781.26,446036.58
Asia,Kyrgyzstan,Cereal,Online,M,2/27/2010,646289908,3/27/2010,401,205.70,117.11,82485.70,46961.11,35524.59
Europe,Belarus,Cosmetics,Online,L,1/15/2011,172333276,1/23/2011,6101,437.20,263.33,2667357.20,1606576.33,1060780.87
"Sub-Saharan Africa","Sierra Leone",Fruits,Offline,C,5/13/2012,679194819,6/18/2012,7695,9.33,6.92,71794.35,53249.40,18544.95
Europe,Sweden,"Baby Food",Online,L,11/22/2014,546610867,11/26/2014,3157,255.28,159.42,805918.96,503288.94,302630.02
Europe,"Bosnia and Herzegovina",Cosmetics,Offline,H,8/28/2016,924630248,10/16/2016,7493,437.20,263.33,3275939.60,1973131.69,1302807.91
Europe,Andorra,"Office Supplies",Offline,H,10/6/2016,783614289,10/20/2016,7737,651.21,524.96,5038411.77,4061615.52,976796.25
"Sub-Saharan Africa",Malawi,Fruits,Offline,M,8/4/2011,964236819,9/10/2011,7957,9.33,6.92,74238.81,55062.44,19176.37
"Middle East and North Africa",Azerbaijan,Cosmetics,Online,H,9/22/2013,127484166,10/5/2013,4253,437.20,263.33,1859411.60,1119942.49,739469.11
Asia,India,Meat,Online,L,4/28/2010,604655158,5/30/2010,9753,421.89,364.69,4114693.17,3556821.57,557871.60
"Australia and Oceania","New Zealand","Personal Care",Offline,M,4/25/2012,747361123,6/5/2012,9619,81.73,56.67,786160.87,545108.73,241052.14
"Sub-Saharan Africa",Zambia,Household,Online,C,10/8/2012,777525889,11/6/2012,6044,668.27,502.54,4039023.88,3037351.76,1001672.12
"Sub-Saharan Africa","Democratic Republic of the Congo",Clothes,Online,H,5/22/2013,537385785,7/8/2013,3251,109.28,35.84,355269.28,116515.84,238753.44
"Central America and the Caribbean",Jamaica,Cosmetics,Offline,M,2/27/2013,839489638,4/3/2013,2494,437.20,263.33,1090376.80,656745.02,433631.78
"Sub-Saharan Africa",Ethiopia,Clothes,Offline,L,2/16/2012,316698777,4/2/2012,7061,109.28,35.84,771626.08,253066.24,518559.84
"Central America and the Caribbean",Grenada,Meat,Offline,M,3/12/2015,372187030,4/1/2015,7268,421.89,364.69,3066296.52,2650566.92,415729.60
"Central America and the Caribbean","Dominican Republic",Cereal,Online,L,3/4/2013,229440724,3/16/2013,5464,205.70,117.11,1123944.80,639889.04,484055.76
Europe,Switzerland,Meat,Offline,C,11/19/2016,982258689,12/5/2016,1029,421.89,364.69,434124.81,375266.01,58858.80
Asia,"North Korea",Fruits,Offline,L,6/29/2015,644752252,8/4/2015,5374,9.33,6.92,50139.42,37188.08,12951.34
Europe,Armenia,Cereal,Online,C,7/30/2010,901345241,8/16/2010,6941,205.70,117.11,1427763.70,812860.51,614903.19
