Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Australia and Oceania","Solomon Islands",Cereal,Online,H,3/4/2016,163152825,3/10/2016,9401,205.70,117.11,1933785.70,1100951.11,832834.59
"Middle East and North Africa",Syria,"Office Supplies",Offline,H,3/6/2016,915009486,4/5/2016,495,651.21,524.96,322348.95,259855.20,62493.75
"Sub-Saharan Africa",Kenya,Cosmetics,Offline,L,6/20/2010,795389401,7/25/2010,2254,437.20,263.33,985448.80,593545.82,391902.98
Europe,Netherlands,Fruits,Offline,H,4/28/2010,729341399,6/7/2010,7182,9.33,6.92,67008.06,49699.44,17308.62
"Australia and Oceania",Tonga,"Office Supplies",Online,C,12/15/2012,362226808,1/15/2013,9817,651.21,524.96,6392928.57,5153532.32,1239396.25
"North America",Mexico,"Personal Care",Online,L,11/8/2012,309719455,12/8/2012,1724,81.73,56.67,140902.52,97699.08,43203.44
"Middle East and North Africa",Afghanistan,Meat,Online,H,2/20/2013,807805669,3/14/2013,6503,421.89,364.69,2743550.67,2371579.07,371971.60
"Middle East and North Africa",Oman,Household,Offline,M,3/20/2014,362784278,4/20/2014,4785,668.27,502.54,3197671.95,2404653.90,793018.05
Asia,Laos,Clothes,Offline,M,7/21/2017,701266610,9/4/2017,9228,109.28,35.84,1008435.84,330731.52,677704.32
Europe,Latvia,Cosmetics,Offline,H,4/28/2014,920176494,6/6/2014,9528,437.20,263.33,4165641.60,2509008.24,1656633.36
"Sub-Saharan Africa",Liberia,Vegetables,Offline,L,11/28/2011,636750257,11/29/2011,7406,154.06,90.93,1140968.36,673427.58,467540.78
"Middle East and North Africa",Syria,Household,Online,M,12/22/2014,438536727,1/1/2015,1618,668.27,502.54,1081260.86,813109.72,268151.14
"Central America and the Caribbean",Nicaragua,Fruits,Offline,L,2/7/2014,533397233,2/12/2014,2949,9.33,6.92,27514.17,20407.08,7107.09
"Middle East and North Africa",Lebanon,"Office Supplies",Offline,M,4/19/2012,299505603,5/5/2012,9218,651.21,524.96,6002853.78,4839081.28,1163772.50
Asia,Tajikistan,Cereal,Online,L,8/21/2013,535348165,9/23/2013,273,205.70,117.11,56156.10,31971.03,24185.07
"Australia and Oceania",Kiribati,"Office Supplies",Online,H,11/21/2011,309723746,12/28/2011,2994,651.21,524.96,1949722.74,1571730.24,377992.50
Asia,Maldives,Cosmetics,Online,C,1/17/2017,111743676,2/7/2017,6292,437.20,263.33,2750862.40,1656872.36,1093990.04
Europe,Iceland,"Office Supplies",Offline,L,8/27/2013,500831782,9/14/2013,6109,651.21,524.96,3978241.89,3206980.64,771261.25
"North America",Mexico,Clothes,Offline,C,1/16/2010,756724393,2/8/2010,419,109.28,35.84,45788.32,15016.96,30771.36
"Sub-Saharan Africa",Cameroon,"Baby Food",Online,H,10/28/2011,229470336,11/14/2011,4227,255.28,159.42,1079068.56,673868.34,405200.22
"Sub-Saharan Africa","Mauritius ",Clothes,Offline,C,7/11/2010,589430940,8/30/2010,4568,109.28,35.84,499191.04,163717.12,335473.92
Europe,Croatia,Meat,Offline,H,2/5/2010,877280032,2/9/2010,5511,421.89,364.69,2325035.79,2009806.59,315229.20
Europe,Poland,Clothes,Online,L,7/25/2015,654003942,8/23/2015,3155,109.28,35.84,344778.40,113075.20,231703.20
"Australia and Oceania",Australia,Snacks,Online,H,1/25/2014,450901496,2/4/2014,628,152.58,97.44,95820.24,61192.32,34627.92
"Middle East and North Africa","United Arab Emirates",Cosmetics,Online,L,7/19/2016,419584023,9/6/2016,3091,437.20,263.33,1351385.20,813953.03,537432.17
Europe,"Moldova ",Beverages,Offline,M,1/26/2016,781975352,2/26/2016,2739,47.45,31.79,129965.55,87072.81,42892.74
Europe,Andorra,Cosmetics,Online,L,5/4/2014,480311810,5/13/2014,3793,437.20,263.33,1658299.60,998810.69,659488.91
Asia,China,Cereal,Offline,C,5/3/2010,327142226,5/26/2010,7509,205.70,117.11,1544601.30,879378.99,665222.31
"Sub-Saharan Africa",Mali,"Personal Care",Online,M,9/8/2011,755327928,10/3/2011,7174,81.73,56.67,586331.02,406550.58,179780.44
Asia,Turkmenistan,Clothes,Offline,L,9/18/2015,468042743,9/25/2015,3103,109.28,35.84,339095.84,111211.52,227884.32
Europe,Liechtenstein,Fruits,Offline,H,3/27/2013,488773000,4/18/2013,7647,9.33,6.92,71346.51,52917.24,18429.27
Europe,Macedonia,Beverages,Online,C,1/26/2015,111317527,2/9/2015,185,47.45,31.79,8778.25,5881.15,2897.10
"Sub-Saharan Africa","Sierra Leone","Office Supplies",Online,H,5/18/2010,949787652,6/26/2010,2127,651.21,524.96,1385123.67,1116589.92,268533.75
"Sub-Saharan Africa","Mauritius ",Vegetables,Online,C,11/22/2015,188607203,1/1/2016,1918,154.06,90.93,295487.08,174403.74,121083.34
"Middle East and North Africa",Syria,Fruits,Offline,C,7/17/2011,932512509,8/11/2011,29,9.33,6.92,270.57,200.68,69.89
Europe,Sweden,"Personal Care",Online,C,5/29/2012,956552398,7/9/2012,3966,81.73,56.67,324141.18,224753.22,99387.96
"Sub-Saharan Africa",Nigeria,Household,Online,L,11/28/2011,356088197,1/13/2012,3265,668.27,502.54,2181901.55,1640793.10,541108.45
"Sub-Saharan Africa",Togo,Snacks,Online,M,11/22/2015,196793735,12/29/2015,4494,152.58,97.44,685694.52,437895.36,247799.16
"Middle East and North Africa",Libya,Vegetables,Offline,M,2/14/2016,264655339,3/10/2016,6251,154.06,90.93,963029.06,568403.43,394625.63
"Sub-Saharan Africa",Burundi,Fruits,Offline,H,10/15/2016,415971839,10/25/2016,4166,9.33,6.92,38868.78,28828.72,10040.06
Asia,Vietnam,Household,Online,H,7/29/2015,127354562,8/1/2015,5900,668.27,502.54,3942793.00,2964986.00,977807.00
"Sub-Saharan Africa",Lesotho,Meat,Offline,C,1/3/2015,745727336,1/9/2015,6145,421.89,364.69,2592514.05,2241020.05,351494.00
"Sub-Saharan Africa","Central African Republic",Clothes,Online,H,2/13/2011,538326489,3/17/2011,1626,109.28,35.84,177689.28,58275.84,119413.44
Europe,Hungary,Fruits,Online,M,5/10/2012,542700850,6/11/2012,6097,9.33,6.92,56885.01,42191.24,14693.77
"Middle East and North Africa",Iran,"Personal Care",Offline,C,1/31/2013,516711747,2/22/2013,5343,81.73,56.67,436683.39,302787.81,133895.58
"Sub-Saharan Africa","South Africa","Personal Care",Offline,L,7/12/2012,288533008,7/18/2012,2184,81.73,56.67,178498.32,123767.28,54731.04
Asia,Thailand,Clothes,Online,L,12/20/2010,206650960,12/20/2010,1466,109.28,35.84,160204.48,52541.44,107663.04
"Australia and Oceania","Papua New Guinea",Household,Offline,L,7/18/2013,689864432,7/30/2013,5071,668.27,502.54,3388797.17,2548380.34,840416.83
Europe,Finland,Household,Offline,L,4/24/2011,877284753,5/1/2011,6908,668.27,502.54,4616409.16,3471546.32,1144862.84
"Central America and the Caribbean",Cuba,Fruits,Online,L,4/26/2015,878335750,6/9/2015,7922,9.33,6.92,73912.26,54820.24,19092.02
"Sub-Saharan Africa",Swaziland,Meat,Offline,M,12/18/2014,422753751,1/29/2015,1084,421.89,364.69,457328.76,395323.96,62004.80
"Sub-Saharan Africa",Sudan,Clothes,Online,M,1/28/2012,210587584,2/6/2012,6401,109.28,35.84,699501.28,229411.84,470089.44
Asia,"South Korea",Cereal,Online,M,2/9/2017,562198579,2/26/2017,5908,205.70,117.11,1215275.60,691885.88,523389.72
Europe,"Bosnia and Herzegovina",Household,Offline,L,2/2/2015,968260562,3/1/2015,8672,668.27,502.54,5795237.44,4358026.88,1437210.56
Europe,Liechtenstein,Fruits,Offline,H,10/26/2014,539759862,11/6/2014,5793,9.33,6.92,54048.69,40087.56,13961.13
Europe,Ukraine,Snacks,Offline,H,10/22/2014,257995307,11/22/2014,5399,152.58,97.44,823779.42,526078.56,297700.86
"Sub-Saharan Africa","Democratic Republic of the Congo",Cosmetics,Offline,H,8/17/2014,724578225,8/28/2014,7653,437.20,263.33,3345891.60,2015264.49,1330627.11
Europe,Norway,Cosmetics,Online,H,2/19/2011,811432445,3/5/2011,9747,437.20,263.33,4261388.40,2566677.51,1694710.89
Asia,Kyrgyzstan,Cosmetics,Online,H,5/24/2017,810794293,6/11/2017,904,437.20,263.33,395228.80,238050.32,157178.48
Europe,Armenia,"Baby Food",Online,M,6/16/2013,185212600,7/21/2013,7379,255.28,159.42,1883711.12,1176360.18,707350.94
"Sub-Saharan Africa","Equatorial Guinea",Cereal,Offline,H,9/23/2010,717548692,11/7/2010,7458,205.70,117.11,1534110.60,873406.38,660704.22
Europe,Monaco,Snacks,Offline,L,4/27/2010,660976397,5/10/2010,6459,152.58,97.44,985514.22,629364.96,356149.26
Europe,Austria,"Personal Care",Offline,H,5/31/2014,588982045,6/19/2014,1731,81.73,56.67,141474.63,98095.77,43378.86
"Central America and the Caribbean",Dominica,"Personal Care",Offline,C,11/21/2014,245364463,12/21/2014,7652,81.73,56.67,625397.96,433638.84,191759.12
Europe,Ukraine,"Baby Food",Online,M,4/9/2012,794234979,5/7/2012,635,255.28,159.42,162102.80,101231.70,60871.10
"Central America and the Caribbean","Trinidad and Tobago","Baby Food",Offline,L,12/7/2011,770017421,1/7/2012,4121,255.28,159.42,1052008.88,656969.82,395039.06
Europe,Russia,"Personal Care",Online,L,9/25/2012,127448117,10/17/2012,3585,81.73,56.67,293002.05,203161.95,89840.10
"Sub-Saharan Africa",Namibia,Household,Online,L,10/28/2010,691575896,11/20/2010,1531,668.27,502.54,1023121.37,769388.74,253732.63
Europe,Portugal,Cosmetics,Offline,L,12/24/2010,307762086,1/9/2011,2495,437.20,263.33,1090814.00,657008.35,433805.65
Europe,"United Kingdom",Beverages,Online,C,4/6/2015,491680514,5/2/2015,8045,47.45,31.79,381735.25,255750.55,125984.70
Asia,Indonesia,Meat,Online,C,8/26/2011,579317510,10/1/2011,1780,421.89,364.69,750964.20,649148.20,101816.00
Europe,Macedonia,"Personal Care",Online,L,9/10/2015,876971900,10/2/2015,4328,81.73,56.67,353727.44,245267.76,108459.68
"Australia and Oceania",Tonga,Snacks,Offline,M,9/17/2013,411255013,10/7/2013,8352,152.58,97.44,1274348.16,813818.88,460529.28
Europe,Montenegro,Household,Online,L,1/10/2012,979090678,1/15/2012,3544,668.27,502.54,2368348.88,1781001.76,587347.12
Europe,Hungary,"Office Supplies",Online,C,6/13/2010,397715222,7/1/2010,1627,651.21,524.96,1059518.67,854109.92,205408.75
"Sub-Saharan Africa",Ghana,"Personal Care",Offline,H,8/22/2013,154677474,9/26/2013,1357,81.73,56.67,110907.61,76901.19,34006.42
Europe,Slovakia,Cosmetics,Online,M,3/8/2012,457838761,4/22/2012,3519,437.20,263.33,1538506.80,926658.27,611848.53
"Sub-Saharan Africa",Mauritania,"Personal Care",Online,L,8/29/2016,685372912,9/26/2016,5930,81.73,56.67,484658.90,336053.10,148605.80
