Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Australia and Oceania",Nauru,Snacks,Online,L,4/8/2016,149577844,4/13/2016,2263,152.58,97.44,345288.54,220506.72,124781.82
"Sub-Saharan Africa",Gabon,Cereal,Online,L,7/24/2017,218304622,8/23/2017,44,205.70,117.11,9050.80,5152.84,3897.96
Asia,Indonesia,Fruits,Online,M,10/14/2013,983523404,11/8/2013,5286,9.33,6.92,49318.38,36579.12,12739.26
Europe,Liechtenstein,Household,Offline,H,5/2/2014,445283019,6/18/2014,7995,668.27,502.54,5342818.65,4017807.30,1325011.35
Europe,Germany,Vegetables,Offline,C,7/11/2014,723944795,7/28/2014,207,154.06,90.93,31890.42,18822.51,13067.91
"Sub-Saharan Africa",Madagascar,Meat,Online,H,7/11/2014,410182559,8/27/2014,989,421.89,364.69,417249.21,360678.41,56570.80
Europe,Slovakia,Snacks,Online,M,7/25/2015,414982640,8/2/2015,1440,152.58,97.44,219715.20,140313.60,79401.60
"Central America and the Caribbean",Guatemala,"Office Supplies",Offline,L,2/24/2016,819643867,3/9/2016,9689,651.21,524.96,6309573.69,5086337.44,1223236.25
"Middle East and North Africa",Morocco,"Baby Food",Online,M,11/11/2015,425777566,12/18/2015,5898,255.28,159.42,1505641.44,940259.16,565382.28
"Sub-Saharan Africa","The Gambia","Office Supplies",Offline,M,7/19/2011,805307567,8/30/2011,7260,651.21,524.96,4727784.60,3811209.60,916575.00
"Central America and the Caribbean","Dominican Republic",Cereal,Online,L,4/11/2016,450470197,4/15/2016,2997,205.70,117.11,616482.90,350978.67,265504.23
Europe,Monaco,Snacks,Online,C,2/5/2010,623814284,3/16/2010,9364,152.58,97.44,1428759.12,912428.16,516330.96
"Australia and Oceania",Australia,"Baby Food",Online,C,12/28/2011,408201158,1/20/2012,4649,255.28,159.42,1186796.72,741143.58,445653.14
Asia,Kyrgyzstan,Cereal,Online,L,6/30/2015,756804645,7/24/2015,4167,205.70,117.11,857151.90,487997.37,369154.53
"Sub-Saharan Africa",Gabon,Vegetables,Offline,H,3/21/2015,443111073,4/10/2015,5268,154.06,90.93,811588.08,479019.24,332568.84
Europe,"Bosnia and Herzegovina",Cereal,Online,H,8/12/2010,110919272,9/10/2010,2332,205.70,117.11,479692.40,273100.52,206591.88
"Sub-Saharan Africa",Tanzania,Meat,Offline,C,5/8/2017,924340569,6/10/2017,1770,421.89,364.69,746745.30,645501.30,101244.00
Asia,Philippines,Household,Offline,M,7/5/2010,517798793,8/24/2010,7024,668.27,502.54,4693928.48,3529840.96,1164087.52
Europe,Italy,Household,Online,L,9/4/2011,646030271,9/16/2011,3568,668.27,502.54,2384387.36,1793062.72,591324.64
"Central America and the Caribbean",Haiti,"Office Supplies",Online,H,12/27/2016,434083831,2/8/2017,3907,651.21,524.96,2544277.47,2051018.72,493258.75
