Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"North America",Greenland,Meat,Online,C,7/7/2016,403406655,7/12/2016,5849,421.89,364.69,2467634.61,2133071.81,334562.80
Europe,Netherlands,Meat,Online,M,12/5/2013,617262828,12/18/2013,643,421.89,364.69,271275.27,234495.67,36779.60
"Sub-Saharan Africa",Ethiopia,Cereal,Offline,L,9/30/2011,476439130,10/15/2011,7781,205.70,117.11,1600551.70,911232.91,689318.79
"Sub-Saharan Africa",Botswana,"Personal Care",Offline,H,7/10/2016,793484389,7/10/2016,8519,81.73,56.67,696257.87,482771.73,213486.14
Europe,France,Clothes,Online,M,2/28/2013,201259934,3/22/2013,6142,109.28,35.84,671197.76,220129.28,451068.48
Europe,Armenia,Clothes,Online,H,2/18/2014,102939593,3/12/2014,968,109.28,35.84,105783.04,34693.12,71089.92
"Sub-Saharan Africa",Swaziland,Fruits,Online,L,4/5/2010,622009694,4/9/2010,5346,9.33,6.92,49878.18,36994.32,12883.86
"Australia and Oceania",Nauru,Cereal,Online,H,5/8/2012,152269065,5/20/2012,8655,205.70,117.11,1780333.50,1013587.05,766746.45
"Middle East and North Africa",Egypt,Snacks,Online,L,2/23/2017,307829034,2/23/2017,2307,152.58,97.44,352002.06,224794.08,127207.98
"Central America and the Caribbean",Guatemala,Fruits,Online,H,2/1/2011,973113429,2/14/2011,4743,9.33,6.92,44252.19,32821.56,11430.63
"Middle East and North Africa",Somalia,Clothes,Online,L,12/20/2011,752858579,12/29/2011,6438,109.28,35.84,703544.64,230737.92,472806.72
Europe,Malta,Snacks,Offline,L,2/23/2012,122113311,3/28/2012,4897,152.58,97.44,747184.26,477163.68,270020.58
Europe,Lithuania,Snacks,Online,H,8/12/2012,976238954,9/28/2012,9655,152.58,97.44,1473159.90,940783.20,532376.70
