Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Australia and Oceania",Vanuatu,Cereal,Online,L,4/24/2014,353420579,4/27/2014,3858,205.70,117.11,793590.60,451810.38,341780.22
Asia,Nepal,"Personal Care",Offline,H,1/29/2015,328928363,3/11/2015,6067,81.73,56.67,495855.91,343816.89,152039.02
Europe,Serbia,Vegetables,Offline,M,9/23/2015,134326589,11/5/2015,9077,154.06,90.93,1398402.62,825371.61,573031.01
"Australia and Oceania","New Zealand","Office Supplies",Online,C,12/8/2011,863414084,1/27/2012,2269,651.21,524.96,1477595.49,1191134.24,286461.25
"Middle East and North Africa",Libya,Vegetables,Offline,M,7/30/2015,530302178,8/18/2015,7054,154.06,90.93,1086739.24,641420.22,445319.02
Europe,Bulgaria,Clothes,Offline,H,2/4/2013,819414699,3/22/2013,1873,109.28,35.84,204681.44,67128.32,137553.12
"Middle East and North Africa",Qatar,Cereal,Online,C,9/18/2014,335487973,10/24/2014,7201,205.70,117.11,1481245.70,843309.11,637936.59
Europe,Cyprus,Beverages,Online,M,10/16/2012,453570830,11/20/2012,543,47.45,31.79,25765.35,17261.97,8503.38
"Sub-Saharan Africa",Nigeria,Meat,Offline,M,11/24/2015,369024598,11/28/2015,1434,421.89,364.69,604990.26,522965.46,82024.80
Europe,Macedonia,Vegetables,Offline,C,9/22/2014,247523105,10/31/2014,6442,154.06,90.93,992454.52,585771.06,406683.46
"Central America and the Caribbean","Dominican Republic",Vegetables,Offline,M,3/10/2016,775052678,3/11/2016,4166,154.06,90.93,641813.96,378814.38,262999.58
Europe,Andorra,Beverages,Offline,L,11/27/2016,907912147,1/6/2017,235,47.45,31.79,11150.75,7470.65,3680.10
Europe,Belarus,"Baby Food",Online,C,7/24/2014,122712838,8/8/2014,2311,255.28,159.42,589952.08,368419.62,221532.46
"Sub-Saharan Africa",Namibia,"Personal Care",Online,H,9/6/2011,666378581,10/6/2011,5085,81.73,56.67,415597.05,288166.95,127430.10
"Australia and Oceania",Tonga,Meat,Online,C,11/13/2011,806145703,12/31/2011,5283,421.89,364.69,2228844.87,1926657.27,302187.60
"Middle East and North Africa",Syria,Clothes,Offline,M,12/30/2015,679563033,1/19/2016,6658,109.28,35.84,727586.24,238622.72,488963.52
"Australia and Oceania","Samoa ",Snacks,Online,C,11/10/2010,944491899,11/21/2010,4996,152.58,97.44,762289.68,486810.24,275479.44
"Australia and Oceania","Federated States of Micronesia",Household,Online,H,10/30/2010,529106128,11/26/2010,3116,668.27,502.54,2082329.32,1565914.64,516414.68
"Sub-Saharan Africa",Mauritania,Household,Offline,M,3/8/2016,681892049,4/10/2016,5865,668.27,502.54,3919403.55,2947397.10,972006.45
"Central America and the Caribbean",Honduras,Meat,Offline,L,12/1/2016,921648490,1/4/2017,5124,421.89,364.69,2161764.36,1868671.56,293092.80
Europe,Belgium,"Office Supplies",Offline,M,8/29/2011,387486779,10/18/2011,4804,651.21,524.96,3128412.84,2521907.84,606505.00
"Middle East and North Africa",Iraq,Beverages,Online,C,6/16/2011,988830745,7/22/2011,5846,47.45,31.79,277392.70,185844.34,91548.36
Europe,"San Marino",Cosmetics,Offline,H,4/14/2013,655416715,4/27/2013,1226,437.20,263.33,536007.20,322842.58,213164.62
"Sub-Saharan Africa",Mali,Meat,Offline,C,5/25/2011,987293517,7/5/2011,946,421.89,364.69,399107.94,344996.74,54111.20
"Sub-Saharan Africa",Angola,Snacks,Offline,M,3/30/2016,504822480,5/7/2016,7045,152.58,97.44,1074926.10,686464.80,388461.30
"Australia and Oceania",Fiji,"Office Supplies",Offline,H,11/8/2012,498677432,11/24/2012,8589,651.21,524.96,5593242.69,4508881.44,1084361.25
Europe,Kosovo,Cereal,Offline,L,1/13/2010,979844701,3/3/2010,6676,205.70,117.11,1373253.20,781826.36,591426.84
"Middle East and North Africa",Pakistan,Snacks,Offline,L,11/10/2013,229623115,12/27/2013,9437,152.58,97.44,1439897.46,919541.28,520356.18
Europe,"San Marino",Vegetables,Offline,H,5/3/2016,649624001,6/7/2016,7033,154.06,90.93,1083503.98,639510.69,443993.29
"Central America and the Caribbean",Guatemala,Meat,Offline,M,4/26/2014,211771190,5/21/2014,6656,421.89,364.69,2808099.84,2427376.64,380723.20
"Australia and Oceania","New Zealand",Clothes,Offline,L,4/16/2013,108301007,6/1/2013,7530,109.28,35.84,822878.40,269875.20,553003.20
"Middle East and North Africa",Yemen,Beverages,Online,M,1/12/2016,701762282,1/22/2016,5909,47.45,31.79,280382.05,187847.11,92534.94
"Middle East and North Africa",Afghanistan,Fruits,Offline,L,3/23/2011,175016343,5/9/2011,80,9.33,6.92,746.40,553.60,192.80
"Central America and the Caribbean",Honduras,Vegetables,Offline,M,2/16/2015,381237018,3/8/2015,5360,154.06,90.93,825761.60,487384.80,338376.80
"Central America and the Caribbean",Dominica,Vegetables,Offline,L,10/11/2014,993910634,10/23/2014,9098,154.06,90.93,1401637.88,827281.14,574356.74
Europe,Finland,Clothes,Offline,C,3/13/2017,856836020,4/21/2017,5674,109.28,35.84,620054.72,203356.16,416698.56
Asia,Maldives,"Personal Care",Offline,L,5/5/2015,234124505,6/6/2015,1499,81.73,56.67,122513.27,84948.33,37564.94
Europe,Greece,Cereal,Online,H,7/31/2014,360199916,8/10/2014,14,205.70,117.11,2879.80,1639.54,1240.26
"Sub-Saharan Africa",Botswana,Cereal,Online,L,10/11/2013,289798581,10/17/2013,6695,205.70,117.11,1377161.50,784051.45,593110.05
"Sub-Saharan Africa","Seychelles ",Clothes,Offline,H,8/26/2016,947969329,10/6/2016,4045,109.28,35.84,442037.60,144972.80,297064.80
"Sub-Saharan Africa","Burkina Faso",Clothes,Online,M,11/1/2012,180073487,12/20/2012,6601,109.28,35.84,721357.28,236579.84,484777.44
"Middle East and North Africa","United Arab Emirates","Baby Food",Online,L,12/19/2011,401784884,12/20/2011,5931,255.28,159.42,1514065.68,945520.02,568545.66
"Central America and the Caribbean",Panama,Cosmetics,Online,H,2/28/2017,949089848,4/5/2017,5632,437.20,263.33,2462310.40,1483074.56,979235.84
"Middle East and North Africa",Qatar,"Baby Food",Online,H,9/6/2013,328287208,9/30/2013,6335,255.28,159.42,1617198.80,1009925.70,607273.10
Europe,Georgia,Snacks,Offline,C,7/27/2010,265988290,7/31/2010,701,152.58,97.44,106958.58,68305.44,38653.14
"Sub-Saharan Africa",Chad,Vegetables,Online,C,2/21/2014,759116923,2/24/2014,8422,154.06,90.93,1297493.32,765812.46,531680.86
"Sub-Saharan Africa","South Sudan",Snacks,Online,L,8/21/2016,524909436,8/29/2016,1222,152.58,97.44,186452.76,119071.68,67381.08
"Sub-Saharan Africa","Sao Tome and Principe",Clothes,Online,H,2/24/2015,150914657,4/11/2015,7855,109.28,35.84,858394.40,281523.20,576871.20
Europe,Sweden,Cosmetics,Online,M,5/28/2015,744993913,6/5/2015,9109,437.20,263.33,3982454.80,2398672.97,1583781.83
Asia,Singapore,Vegetables,Online,M,10/30/2012,785321033,11/21/2012,2800,154.06,90.93,431368.00,254604.00,176764.00
"Sub-Saharan Africa",Madagascar,Vegetables,Offline,L,7/4/2011,170382344,8/4/2011,8777,154.06,90.93,1352184.62,798092.61,554092.01
Asia,Uzbekistan,Fruits,Offline,H,10/10/2012,668976676,10/24/2012,3919,9.33,6.92,36564.27,27119.48,9444.79
"North America","United States of America",Snacks,Offline,M,6/26/2011,970215356,7/12/2011,7139,152.58,97.44,1089268.62,695624.16,393644.46
"Sub-Saharan Africa","Sierra Leone",Cosmetics,Offline,L,11/23/2014,733522212,12/10/2014,4378,437.20,263.33,1914061.60,1152858.74,761202.86
"Sub-Saharan Africa",Mauritania,Snacks,Offline,C,3/12/2016,138633573,3/25/2016,3610,152.58,97.44,550813.80,351758.40,199055.40
Europe,Serbia,Household,Online,C,6/2/2013,335598266,7/10/2013,9839,668.27,502.54,6575108.53,4944491.06,1630617.47
"Sub-Saharan Africa",Sudan,Cosmetics,Online,M,3/30/2013,294777619,5/6/2013,103,437.20,263.33,45031.60,27122.99,17908.61
