Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Sub-Saharan Africa","Burkina Faso","Personal Care",Online,M,2/25/2010,588394105,3/19/2010,7746,81.73,56.67,633080.58,438965.82,194114.76
Europe,Hungary,Household,Online,C,4/15/2017,205857455,4/15/2017,6650,668.27,502.54,4443995.50,3341891.00,1102104.50
Europe,Iceland,Fruits,Offline,C,7/26/2013,781726872,7/30/2013,9208,9.33,6.92,85910.64,63719.36,22191.28
"Central America and the Caribbean",Haiti,Meat,Offline,H,10/4/2010,372301185,11/6/2010,1049,421.89,364.69,442562.61,382559.81,60002.80
"Sub-Saharan Africa",Swaziland,Vegetables,Offline,H,2/10/2014,254191720,3/31/2014,9834,154.06,90.93,1515026.04,894205.62,620820.42
Europe,Macedonia,Snacks,Offline,H,1/7/2011,874322307,1/7/2011,255,152.58,97.44,38907.90,24847.20,14060.70
Europe,Andorra,Beverages,Offline,L,8/24/2012,499929273,8/27/2012,9036,47.45,31.79,428758.20,287254.44,141503.76
"Australia and Oceania","New Zealand","Office Supplies",Online,L,4/19/2012,168561446,4/28/2012,9933,651.21,524.96,6468468.93,5214427.68,1254041.25
"Sub-Saharan Africa",Niger,"Baby Food",Online,H,12/3/2011,538080155,1/6/2012,8730,255.28,159.42,2228594.40,1391736.60,836857.80
"Sub-Saharan Africa",Botswana,"Office Supplies",Offline,M,9/23/2010,536659228,10/23/2010,8246,651.21,524.96,5369877.66,4328820.16,1041057.50
Asia,Taiwan,Cosmetics,Offline,C,7/30/2016,512784993,8/14/2016,3330,437.20,263.33,1455876.00,876888.90,578987.10
"Middle East and North Africa",Pakistan,Snacks,Online,H,11/23/2011,885256278,1/7/2012,5860,152.58,97.44,894118.80,570998.40,323120.40
"Australia and Oceania",Australia,Snacks,Online,H,6/10/2010,793184411,7/17/2010,9748,152.58,97.44,1487349.84,949845.12,537504.72
"North America",Greenland,Meat,Offline,C,9/15/2015,345993220,11/2/2015,5937,421.89,364.69,2504760.93,2165164.53,339596.40
Europe,Belarus,Cosmetics,Online,L,1/30/2017,173419034,3/20/2017,7401,437.20,263.33,3235717.20,1948905.33,1286811.87
"Sub-Saharan Africa",Madagascar,"Baby Food",Online,C,5/25/2016,975510680,7/12/2016,4143,255.28,159.42,1057625.04,660477.06,397147.98
"North America","United States of America","Baby Food",Online,H,7/15/2016,372629487,7/30/2016,8201,255.28,159.42,2093551.28,1307403.42,786147.86
Europe,"Moldova ",Meat,Online,M,2/3/2010,555449283,2/14/2010,8641,421.89,364.69,3645551.49,3151286.29,494265.20
"Middle East and North Africa",Pakistan,Cosmetics,Offline,H,6/12/2013,634956395,6/23/2013,6562,437.20,263.33,2868906.40,1727971.46,1140934.94
Asia,Philippines,"Baby Food",Offline,L,7/13/2017,692449653,8/6/2017,95,255.28,159.42,24251.60,15144.90,9106.70
Asia,Tajikistan,Snacks,Offline,M,5/8/2014,429540383,6/3/2014,9400,152.58,97.44,1434252.00,915936.00,518316.00
"Sub-Saharan Africa",Eritrea,"Office Supplies",Online,M,11/26/2015,518152415,12/25/2015,1669,651.21,524.96,1086869.49,876158.24,210711.25
Europe,Belgium,Vegetables,Online,H,7/14/2012,350522077,7/24/2012,6127,154.06,90.93,943925.62,557128.11,386797.51
"North America",Canada,Cosmetics,Offline,C,8/2/2014,289198195,9/5/2014,9028,437.20,263.33,3947041.60,2377343.24,1569698.36
Asia,"South Korea",Meat,Online,L,9/30/2010,317042100,10/27/2010,8658,421.89,364.69,3652723.62,3157486.02,495237.60
"Sub-Saharan Africa",Swaziland,Household,Online,L,4/11/2017,487227618,4/18/2017,334,668.27,502.54,223202.18,167848.36,55353.82
"Australia and Oceania",Kiribati,Beverages,Online,L,8/19/2013,473241078,8/22/2013,1406,47.45,31.79,66714.70,44696.74,22017.96
Europe,Slovenia,Clothes,Online,M,6/3/2014,918881309,7/7/2014,6254,109.28,35.84,683437.12,224143.36,459293.76
"Sub-Saharan Africa",Ethiopia,Cosmetics,Offline,H,8/2/2012,288259637,8/30/2012,1287,437.20,263.33,562676.40,338905.71,223770.69
Europe,Albania,Vegetables,Offline,H,7/3/2013,715799891,7/8/2013,9949,154.06,90.93,1532742.94,904662.57,628080.37
"North America",Greenland,Cosmetics,Online,H,1/14/2016,356238400,3/4/2016,7714,437.20,263.33,3372560.80,2031327.62,1341233.18
Europe,Liechtenstein,Snacks,Offline,H,4/30/2016,134623992,5/31/2016,7086,152.58,97.44,1081181.88,690459.84,390722.04
"Central America and the Caribbean",Guatemala,Cereal,Offline,C,8/4/2011,596317994,9/7/2011,2601,205.70,117.11,535025.70,304603.11,230422.59
Europe,"Bosnia and Herzegovina",Household,Offline,H,6/14/2011,556994235,7/15/2011,5827,668.27,502.54,3894009.29,2928300.58,965708.71
Europe,Switzerland,Vegetables,Online,H,6/18/2011,252639043,6/24/2011,362,154.06,90.93,55769.72,32916.66,22853.06
"Central America and the Caribbean","Trinidad and Tobago",Clothes,Online,M,1/11/2012,889551246,2/16/2012,6836,109.28,35.84,747038.08,245002.24,502035.84
Asia,Kazakhstan,"Office Supplies",Online,C,8/14/2014,594342172,8/18/2014,7911,651.21,524.96,5151722.31,4152958.56,998763.75
Europe,Italy,Beverages,Offline,M,5/28/2010,263935649,7/8/2010,3279,47.45,31.79,155588.55,104239.41,51349.14
"Middle East and North Africa","United Arab Emirates","Personal Care",Offline,C,5/5/2014,415568006,6/5/2014,4663,81.73,56.67,381106.99,264252.21,116854.78
"Sub-Saharan Africa",Angola,Household,Offline,C,12/14/2015,736788070,12/17/2015,818,668.27,502.54,546644.86,411077.72,135567.14
Europe,Portugal,Meat,Offline,H,5/22/2013,535457170,7/9/2013,2530,421.89,364.69,1067381.70,922665.70,144716.00
"Australia and Oceania",Australia,Vegetables,Online,C,3/24/2017,989749133,5/6/2017,7618,154.06,90.93,1173629.08,692704.74,480924.34
"Middle East and North Africa",Kuwait,Cereal,Online,L,5/25/2016,198150289,6/25/2016,5929,205.70,117.11,1219595.30,694345.19,525250.11
"Sub-Saharan Africa",Niger,Snacks,Offline,C,3/31/2012,829459464,5/13/2012,4343,152.58,97.44,662654.94,423181.92,239473.02
"Middle East and North Africa",Yemen,Meat,Offline,L,10/6/2014,672787988,10/26/2014,1771,421.89,364.69,747167.19,645865.99,101301.20
Europe,Cyprus,Cereal,Offline,C,1/25/2016,287559688,3/11/2016,4157,205.70,117.11,855094.90,486826.27,368268.63
"Sub-Saharan Africa","Democratic Republic of the Congo",Cereal,Offline,H,11/30/2016,753510892,12/15/2016,9472,205.70,117.11,1948390.40,1109265.92,839124.48
"Central America and the Caribbean",Belize,"Office Supplies",Offline,M,5/7/2015,520690429,5/18/2015,2724,651.21,524.96,1773896.04,1429991.04,343905.00
"Sub-Saharan Africa","Seychelles ",Household,Online,L,6/17/2010,359459626,7/17/2010,946,668.27,502.54,632183.42,475402.84,156780.58
"Australia and Oceania",Vanuatu,Vegetables,Online,L,10/13/2013,210492312,10/20/2013,8208,154.06,90.93,1264524.48,746353.44,518171.04
"Middle East and North Africa",Somalia,Snacks,Offline,M,3/10/2015,534774816,4/20/2015,607,152.58,97.44,92616.06,59146.08,33469.98
Europe,Andorra,Clothes,Online,M,12/19/2016,963605964,1/5/2017,1273,109.28,35.84,139113.44,45624.32,93489.12
"Sub-Saharan Africa",Angola,Cereal,Offline,C,11/30/2014,748597085,1/5/2015,5368,205.70,117.11,1104197.60,628646.48,475551.12
Europe,Finland,"Office Supplies",Offline,L,3/29/2017,111672008,5/3/2017,5083,651.21,524.96,3310100.43,2668371.68,641728.75
"Middle East and North Africa",Bahrain,"Personal Care",Offline,M,7/3/2010,695067059,7/19/2010,4644,81.73,56.67,379554.12,263175.48,116378.64
Europe,Greece,Beverages,Online,L,5/27/2016,611331069,6/14/2016,5303,47.45,31.79,251627.35,168582.37,83044.98
Asia,Kyrgyzstan,Cosmetics,Online,M,4/9/2012,293325364,5/24/2012,348,437.20,263.33,152145.60,91638.84,60506.76
"Sub-Saharan Africa",Guinea,Meat,Online,H,8/1/2010,244223773,9/7/2010,96,421.89,364.69,40501.44,35010.24,5491.20
"Sub-Saharan Africa",Togo,Meat,Offline,L,4/18/2017,587512624,6/5/2017,6896,421.89,364.69,2909353.44,2514902.24,394451.20
"Middle East and North Africa",Somalia,Cosmetics,Online,L,12/9/2012,616990745,12/31/2012,127,437.20,263.33,55524.40,33442.91,22081.49
Europe,"San Marino","Baby Food",Offline,M,12/19/2016,146769464,1/2/2017,1201,255.28,159.42,306591.28,191463.42,115127.86
"Sub-Saharan Africa",Cameroon,Clothes,Offline,M,10/26/2015,861272609,11/14/2015,8559,109.28,35.84,935327.52,306754.56,628572.96
"Sub-Saharan Africa",Rwanda,Snacks,Online,L,2/22/2012,465236508,4/7/2012,2676,152.58,97.44,408304.08,260749.44,147554.64
Europe,"Bosnia and Herzegovina",Clothes,Online,H,6/11/2013,333709990,7/18/2013,1057,109.28,35.84,115508.96,37882.88,77626.08
Europe,Bulgaria,Snacks,Online,C,2/22/2013,562054383,2/25/2013,3237,152.58,97.44,493901.46,315413.28,178488.18
Europe,Sweden,"Office Supplies",Offline,C,2/2/2017,415943515,3/17/2017,5784,651.21,524.96,3766598.64,3036368.64,730230.00
Europe,Luxembourg,Clothes,Online,L,1/17/2017,581363713,2/1/2017,7297,109.28,35.84,797416.16,261524.48,535891.68
"Australia and Oceania",Palau,Beverages,Offline,M,3/16/2017,914613807,4/4/2017,3405,47.45,31.79,161567.25,108244.95,53322.30
"Australia and Oceania",Palau,Beverages,Online,C,3/30/2015,892305123,4/17/2015,1770,47.45,31.79,83986.50,56268.30,27718.20
"Central America and the Caribbean",Honduras,Snacks,Offline,M,9/10/2013,961361491,9/22/2013,7084,152.58,97.44,1080876.72,690264.96,390611.76
Asia,Brunei,Meat,Offline,L,2/27/2016,289019238,3/13/2016,6070,421.89,364.69,2560872.30,2213668.30,347204.00
"Central America and the Caribbean",Panama,Clothes,Online,H,12/9/2015,812827193,1/7/2016,2484,109.28,35.84,271451.52,89026.56,182424.96
"Sub-Saharan Africa","Sao Tome and Principe",Vegetables,Online,M,12/22/2014,490646684,1/9/2015,2112,154.06,90.93,325374.72,192044.16,133330.56
Europe,Montenegro,Cereal,Offline,M,6/26/2012,950651538,8/3/2012,7770,205.70,117.11,1598289.00,909944.70,688344.30
Asia,Japan,Fruits,Online,L,5/1/2016,741328084,5/5/2016,4309,9.33,6.92,40202.97,29818.28,10384.69
"Sub-Saharan Africa",Comoros,Household,Offline,L,7/3/2016,281475150,7/25/2016,3607,668.27,502.54,2410449.89,1812661.78,597788.11
Europe,Iceland,Meat,Offline,L,8/18/2011,510204064,8/28/2011,9575,421.89,364.69,4039596.75,3491906.75,547690.00
Europe,Iceland,Vegetables,Online,H,10/4/2012,636938655,10/30/2012,3157,154.06,90.93,486367.42,287066.01,199301.41
"Sub-Saharan Africa",Zambia,Vegetables,Offline,L,11/12/2016,391415250,12/21/2016,7325,154.06,90.93,1128489.50,666062.25,462427.25
"Central America and the Caribbean",Grenada,Clothes,Online,C,8/17/2010,473682677,8/24/2010,2085,109.28,35.84,227848.80,74726.40,153122.40
"Australia and Oceania","Marshall Islands","Personal Care",Offline,H,1/28/2012,304102265,1/30/2012,9473,81.73,56.67,774228.29,536834.91,237393.38
"Sub-Saharan Africa",Namibia,"Baby Food",Offline,M,10/21/2013,273347842,11/25/2013,8556,255.28,159.42,2184175.68,1363997.52,820178.16
Asia,India,Beverages,Offline,C,1/17/2017,392405736,2/14/2017,432,47.45,31.79,20498.40,13733.28,6765.12
"Sub-Saharan Africa","Democratic Republic of the Congo",Fruits,Online,L,9/26/2012,742574775,11/8/2012,3232,9.33,6.92,30154.56,22365.44,7789.12
"Australia and Oceania",Palau,Household,Online,M,8/7/2015,125466287,8/9/2015,7117,668.27,502.54,4756077.59,3576577.18,1179500.41
"Middle East and North Africa",Libya,Cosmetics,Offline,L,11/28/2014,113004100,12/21/2014,9279,437.20,263.33,4056778.80,2443439.07,1613339.73
"Sub-Saharan Africa",Madagascar,Cosmetics,Offline,M,2/29/2016,997424542,3/29/2016,8942,437.20,263.33,3909442.40,2354696.86,1554745.54
Europe,Romania,Vegetables,Online,M,7/21/2014,441276443,8/25/2014,2360,154.06,90.93,363581.60,214594.80,148986.80
"Sub-Saharan Africa",Niger,Cosmetics,Online,M,12/1/2013,227421128,12/20/2013,7821,437.20,263.33,3419341.20,2059503.93,1359837.27
"Australia and Oceania",Australia,Cereal,Offline,M,5/14/2015,409032428,7/1/2015,640,205.70,117.11,131648.00,74950.40,56697.60
"Central America and the Caribbean",Jamaica,Vegetables,Online,C,7/4/2013,659596669,8/23/2013,8167,154.06,90.93,1258208.02,742625.31,515582.71
"Middle East and North Africa",Syria,Vegetables,Online,C,5/14/2015,722912681,6/26/2015,4782,154.06,90.93,736714.92,434827.26,301887.66
"Australia and Oceania","Papua New Guinea",Cosmetics,Online,C,11/22/2013,863091790,11/30/2013,6895,437.20,263.33,3014494.00,1815660.35,1198833.65
Europe,Hungary,Beverages,Offline,H,6/18/2014,514557826,7/3/2014,7950,47.45,31.79,377227.50,252730.50,124497.00
"Australia and Oceania",Australia,Household,Offline,M,12/9/2015,532047116,1/26/2016,3420,668.27,502.54,2285483.40,1718686.80,566796.60
Europe,Russia,"Office Supplies",Offline,H,6/19/2014,940608489,7/13/2014,5809,651.21,524.96,3782878.89,3049492.64,733386.25
"Sub-Saharan Africa",Guinea-Bissau,Beverages,Online,H,10/26/2014,485603272,11/24/2014,9654,47.45,31.79,458082.30,306900.66,151181.64
"Australia and Oceania","Papua New Guinea","Baby Food",Offline,C,6/29/2011,682705295,8/4/2011,6523,255.28,159.42,1665191.44,1039896.66,625294.78
Asia,Mongolia,"Office Supplies",Online,M,3/7/2015,867900884,4/6/2015,13,651.21,524.96,8465.73,6824.48,1641.25
"North America",Mexico,Clothes,Online,H,2/20/2011,447488868,3/28/2011,755,109.28,35.84,82506.40,27059.20,55447.20
