Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"North America",Canada,"Personal Care",Online,L,9/17/2010,427715623,10/30/2010,9412,81.73,56.67,769242.76,533378.04,235864.72
"Sub-Saharan Africa",Comoros,Fruits,Online,L,7/24/2014,203711688,8/6/2014,1670,9.33,6.92,15581.10,11556.40,4024.70
Asia,Mongolia,"Baby Food",Online,M,10/19/2013,512723195,11/19/2013,5042,255.28,159.42,1287121.76,803795.64,483326.12
Europe,Norway,Clothes,Offline,C,9/2/2011,648548972,10/9/2011,8908,109.28,35.84,973466.24,319262.72,654203.52
Europe,Spain,"Baby Food",Offline,L,6/24/2012,425300347,8/2/2012,4679,255.28,159.42,1194455.12,745926.18,448528.94
Europe,"Bosnia and Herzegovina","Personal Care",Offline,L,3/30/2010,627401149,4/28/2010,797,81.73,56.67,65138.81,45165.99,19972.82
"Sub-Saharan Africa",Namibia,Clothes,Offline,C,3/8/2015,759587705,3/24/2015,7736,109.28,35.84,845390.08,277258.24,568131.84
Europe,Montenegro,Cosmetics,Online,M,1/31/2012,396908843,3/18/2012,3002,437.20,263.33,1312474.40,790516.66,521957.74
Europe,Ireland,"Baby Food",Online,C,2/1/2017,534725892,3/1/2017,6129,255.28,159.42,1564611.12,977085.18,587525.94
Europe,Austria,Clothes,Online,L,4/27/2013,438712680,5/6/2013,3686,109.28,35.84,402806.08,132106.24,270699.84
"Sub-Saharan Africa","Central African Republic",Meat,Offline,L,4/8/2015,794855535,5/28/2015,4271,421.89,364.69,1801892.19,1557590.99,244301.20
"North America",Canada,Meat,Offline,C,12/20/2011,559453284,2/7/2012,3514,421.89,364.69,1482521.46,1281520.66,201000.80
"Central America and the Caribbean","Dominican Republic",Clothes,Offline,C,4/3/2016,109117257,4/22/2016,9076,109.28,35.84,991825.28,325283.84,666541.44
Asia,Mongolia,Cosmetics,Offline,L,7/7/2015,790771281,7/18/2015,5650,437.20,263.33,2470180.00,1487814.50,982365.50
Asia,Philippines,Household,Online,H,5/4/2013,871651685,6/12/2013,9958,668.27,502.54,6654632.66,5004293.32,1650339.34
Asia,Tajikistan,Fruits,Offline,C,8/12/2010,489307296,8/14/2010,5757,9.33,6.92,53712.81,39838.44,13874.37
Europe,"Vatican City",Vegetables,Online,H,11/4/2016,301599442,11/24/2016,8832,154.06,90.93,1360657.92,803093.76,557564.16
Asia,Maldives,Beverages,Online,C,2/10/2016,136701953,3/25/2016,2001,47.45,31.79,94947.45,63611.79,31335.66
Europe,"Moldova ","Office Supplies",Online,H,4/7/2016,343101155,5/18/2016,111,651.21,524.96,72284.31,58270.56,14013.75
"Central America and the Caribbean",Jamaica,Vegetables,Offline,L,11/17/2014,439595878,12/3/2014,5044,154.06,90.93,777078.64,458650.92,318427.72
"Central America and the Caribbean",Grenada,Cosmetics,Online,M,7/28/2010,465297448,9/5/2010,710,437.20,263.33,310412.00,186964.30,123447.70
"Sub-Saharan Africa",Cameroon,Fruits,Offline,M,5/27/2014,529629695,6/10/2014,8051,9.33,6.92,75115.83,55712.92,19402.91
Asia,Philippines,Snacks,Online,L,10/7/2015,362328946,10/21/2015,42,152.58,97.44,6408.36,4092.48,2315.88
Europe,Netherlands,Fruits,Offline,C,6/25/2016,663444030,8/10/2016,6686,9.33,6.92,62380.38,46267.12,16113.26
"Middle East and North Africa",Pakistan,Vegetables,Online,L,11/16/2011,853336274,12/18/2011,21,154.06,90.93,3235.26,1909.53,1325.73
Europe,Cyprus,"Office Supplies",Online,C,4/1/2017,422679507,5/2/2017,9114,651.21,524.96,5935127.94,4784485.44,1150642.50
Europe,Ukraine,Vegetables,Online,L,2/14/2011,282460057,3/2/2011,5063,154.06,90.93,780005.78,460378.59,319627.19
"Australia and Oceania",Tonga,"Baby Food",Online,M,9/20/2014,513976752,9/20/2014,5998,255.28,159.42,1531169.44,956201.16,574968.28
"Sub-Saharan Africa",Liberia,Cosmetics,Offline,C,6/20/2012,818840920,6/27/2012,2080,437.20,263.33,909376.00,547726.40,361649.60
Europe,Iceland,Household,Offline,C,5/16/2016,968976390,5/16/2016,501,668.27,502.54,334803.27,251772.54,83030.73
